,precision,recall,f1-score,support
Wind power farms,1.0,0.8333333333333334,0.9090909090909091,6.0
Geothermal Explr/Plants EAST AFRICA,1.0,1.0,1.0,4.0
Renewable energy,0.9354838709677419,0.90625,0.9206349206349206,64.0
Environmental Policy Admin,0.9024390243902439,0.8604651162790697,0.8809523809523809,43.0
"Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+",0.974025974025974,0.9375,0.9554140127388535,80.0
Hydro Power Plants Rehab,1.0,1.0,1.0,20.0
Biodiv Conserv Prog,0.9459459459459459,0.875,0.9090909090909091,40.0
Solar PV Energy,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
Thermal Power Plants Constr.,1.0,0.8,0.8888888888888888,5.0
Climate Adaptation,0.9207920792079208,0.9893617021276596,0.9538461538461539,94.0
National Capacities - Enviro Dev Plan Mainstreaming,0.7142857142857143,1.0,0.8333333333333334,5.0
Resilience,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
Enviro Ed Trainings,0.7777777777777778,0.875,0.8235294117647058,8.0
Wildlife conservation,0.9855072463768116,0.9714285714285714,0.9784172661870504,70.0
Combat Desertif Convention,0.6666666666666666,1.0,0.8,4.0
Marine-Coastal Protected Areas Mgmt. (CMB),1.0,0.8461538461538461,0.9166666666666666,13.0
Air Pollution Mitigation,0.8571428571428571,1.0,0.9230769230769231,6.0
Green Growth Strategies,0.8333333333333334,1.0,0.9090909090909091,10.0
accuracy,0.9365384615384615,0.9365384615384615,0.9365384615384615,0.9365384615384615
macro avg,0.90964747631142,0.9317927970611254,0.9150057859252446,520.0
weighted avg,0.940351947266029,0.9365384615384615,0.936854111050966,520.0
