"country","iso_3","PVCCI","Flood","Aridity","Rainfall","Temperature","Storms","Region"
"Afghanistan","AFG",59.6719548,43.818,78.8805818,81.3012999,55.2417074,0,"South Asian"
"Albania","ALB",41.6961311,4.8788571,38.2130022,69.8101377,48.3254036,0,"Europe & Central Asia"
"Algeria","DZA",61.1624158,0.5992857,82.4542292,84.8598955,68.5852839,0.0587067,"MENA"
"Andorra","AND",44.9427585,0,47.7552011,71.845496,51.5453509,0,"Europe & Central Asia"
"Angola","AGO",50.2372371,0.1684286,45.0036686,70.7274805,74.7740925,0,"SubSaharan Africa"
"Anguilla","AIA",60.5987953,66.4191437,37.0522472,68.038189,71.9813945,52.5945052,NA
"Antigua & Barbuda","ATG",57.1396863,39.985714,39.2964312,65.6521726,80.3091709,49.2126126,"Latin America & Caribbean"
"Argentina","ARG",54.4820383,44.457,59.4757461,77.1622464,58.0832247,0,"Latin America & Caribbean"
"Armenia","ARM",45.0248184,0,55.6831054,77.9774817,30.9042954,0,"Europe & Central Asia"
"Australia","AUS",62.9258667,1.1357143,74.7553296,78.6138758,70.9271553,54.7528223,"East Asia Pacific"
"Austria","AUT",43.4083943,0,44.9814339,69.5569916,50.5958397,0,"Europe & Central Asia"
"Azerbaijan","AZE",52.365481,0,74.7874353,79.2721221,42.8192501,0,"Europe & Central Asia"
"Bahrain","BHR",57.8920914,33.2897148,41.282278,84.8325541,82.1491169,0,"MENA"
"Bangladesh","BGD",48.8933145,5.1205716,35.4874496,57.6954148,82.538278,22.9319307,"South Asian"
"Barbados","BRB",50.5641483,19.4054279,35.7678526,59.8427989,78.2213737,37.7890416,"Latin America & Caribbean"
"Belarus","BLR",43.2877158,0,51.2189384,76.7883862,29.1426795,0,"Europe & Central Asia"
"Belgium","BEL",48.5436803,6.0075712,46.6242384,72.4494687,65.7541517,0,"Europe & Central Asia"
"Belize","BLZ",56.308305,8.2922859,33.7504893,65.8800711,77.7105625,65.3157961,"Latin America & Caribbean"
"Benin","BEN",48.2187293,0.9538571,45.755865,69.2629443,68.7994536,0,"SubSaharan Africa"
"Bhutan","BTN",41.3925606,46.818,31.4294648,61.8899261,39.4417318,0.9852957,"South Asian"
"Bolivia","BOL",48.7941342,0,38.9866606,70.0545311,74.0050041,0,"Latin America & Caribbean"
"Bosnia & Herzegovina","BIH",41.8825401,0.1295714,41.4875283,70.6356717,45.3883894,0,"Europe & Central Asia"
"Botswana","BWA",61.2073552,0,83.3934985,79.7657108,73.5843558,0,"SubSaharan Africa"
"Brazil","BRA",47.6203193,0.6057143,35.6013045,61.7688702,79.0902024,0.0289829,"Latin America & Caribbean"
"Brunei","BRN",45.7130699,3.9595714,26.0292438,57.0530877,80.623627,0,"East Asia Pacific"
"Bulgaria","BGR",46.8748624,0.491,49.5909738,76.7364689,51.364114,0,"Europe & Central Asia"
