Topic,Count,Name,CustomName,Representation,Zephyr,Representative_Docs
-1,861793,-1_the_and_to_in,Outlier Topic,"['the', 'and', 'to', 'in', 'of', 'de', 'for', 'la', 'development', 'support']","['\nWater & Health Dev Proj: Edu, Wash, Livelihoods, Crisis Response', '', '', '', '', '', '', '', '', '']","[""syria crisis - multi-year and multi-sectoral program in syria - 2017-2019/crise en syrie - assistance en syrie - 2017-2019 syria crisis - multi-year and multi-sectoral program in syria - 2017-2019/crise en syrie - assistance en syrie - 2017-2019 december 2016 – the humanitarian situation in syria continues to deteriorate as a result of the civil war in the country. an estimated 13.5 million people continue to be in need of humanitarian assistance, 6.1 million of which are displaced internally by violence and 975,080 located in besieged communities according to the united nations. repeated and deliberate attacks on humanitarian and medical workers continue to plague the conflict, adding to the vulnerability of millions of people, particularly women and children, who are affected by the conflict and struggle for access to the most basic services.with gac's support, this project aims to provide conflict-affected persons in syria with water, sanitation and hygiene (wash), protection, education and livelihood services. project activities include: (1) providing safe drinking water, (2) providing support and training for community emergency response teams and delivering psychosocial services, (3) rehabilitation and support of primary schools and early learning centers, and (4) provision of cash assistance to vulnerable households./décembre 2016 – la situation humanitaire en syrie continue de se dégrader en raison de la guerre civile. on estime à 13,5 millions le nombre de personnes qui continuent d'avoir besoin d'une aide humanitaire, dont 6,1 millions sont des personnes déplacées en raison de la violence qui a cours et 975 080 se trouvent dans des collectivités assiégées, selon les nations unies. des attaques délibérées et répétées contre les travailleurs médicaux et humanitaires continuent de marquer le conflit et accentuent la vulnérabilité de la situation de millions de personnes, en particulier des femmes et des enfants, qui sont touchées par le conflit et qui ont peine à accéder aux services les plus essentiels.avec le soutien de amc, le projet vise à venir en aide aux personnes touchées par le conflit en syrie à l'égard d'aspects comme l'approvisionnement en eau, les services d'assainissement et d'hygiène, de même que la protection, l'éducation et les services axés sur les moyens de subsistance. les activités menées dans le cadre du projet comprennent : (1) l'approvisionnement en eau potable, (2) le soutien et la formation des équipes communautaires d'intervention d'urgence et la prestation de services psychosociaux, (3) la remise en état et le soutien d'écoles primaires et de centres d'apprentissage pour les jeunes enfants, (4) l'octroi d'une aide monétaire aux ménages vulnérables."", ""mobilizing domestic revenues for inclusive poverty alleviation in ghana/mobiliser les revenus intérieurs pour la réduction inclusive de la pauvreté au ghana mobilizing domestic revenues for inclusive poverty alleviation in ghana/mobiliser les revenus intérieurs pour la réduction inclusive de la pauvreté a the project aims to champion inclusive and accountable governance, and to improve the participation of women in making decisions related to budget planning and allocation, and service delivery at the district and municipal government levels. the project supports the modernization of local property tax systems of 60 districts and municipal governments across ghana, helping them increase their revenue generation capacity so that they can invest in poverty reduction priorities which impact women and girls.project activities include: (1) providing training on budget planning, gender budgeting and gender equitable local services to improve local public financial management, (2) developing  standards for citizen participation, specifically of women, in budgeting and planning (such as public budget hearings), (3) technical assistance on how to engage and empower women, public education regarding the tax system, (4) providing training to civil society and women's organizations on gender budgeting and participatory planning, and (5) using information technologies and digital databases to assemble basic information required by a modern revenue system: property and business location mapping, property valuation and assessment, and socio-economic taxpayer data.the project is implemented by canada in collaboration with the german society for international cooperation (giz) and the united states agency for international development (usaid). / le projet vise à promouvoir la gouvernance inclusive et responsable et à améliorer la participation des femmes dans la prise de décisions liées à la planification budgétaire, à l'affectation du budget et à la prestation des services à l'échelle des districts et des municipalités. le projet appuie la modernisation des régimes locaux d'impôts fonciers de 60 districts et municipalités à l'échelle du ghana, ce qui aide ceux-ci à accroître leur capacité de production de recettes afin qu'ils puissent investir dans des priorités en matière de réduction de la pauvreté qui ont une incidence sur les femmes et les filles.les activités du projet comprennent : 1) fournir une formation sur la planification budgétaire, la budgétisation fondée sur le sexe et les services locaux équitables entre les sexes pour améliorer la gestion locale des finances publiques, 2) élaborer des normes pour la participation des citoyens, en particulier des femmes, à l'établissement du budget et à la planification (comme des audiences publiques sur le budget), 3) fournir une assistance technique pour la manière de nouer le dialogue avec les femmes et de renforcer leur pouvoir, et pour sensibiliser le public à l'égard du régime fiscal, 4) fournir de la formation à des organisations de la société civile et à des organisations de femmes sur la budgétisation fondée sur le sexe et la planification participative, 5) utiliser des technologies de l'information et des bases de données numériques pour réunir l'information de base requise par un système de recettes moderne : cartographie foncière et cartographie de l'emplacement des commerces, évaluation immobilière et données socioéconomiques sur les contribuables.le projet est mis en œuvre par le canada en collaboration avec l'agence allemande de coopération internationale (giz) et l'agence américaine pour le développement international (usaid)."", ""cafod - youth and women engagement towards democracy and peace in drc cafod - youth and women engagement towards democracy and peace in drc cafod has submitted a project proposal which aims to strengthen the participation of women and young people in decision-making positions in order to promote democracy and peacebuilding in dr congo. the work will be done at four levels:- the first will be at the individual level to allow young people and women to develop leadership to influence local and national decision-making bodies,- the second level will be work at the community level to sensitize communities to trust women and young people as agents of change for good governance and peacebuilding.- the third level of work will be to be able to make a permanent diagnosis on the state of parity and the positioning of women and young people in local, provincial and national institutions- the last level is that which is at the political level thus requires the analysis of certain discriminatory laws and thus influence certain changes through advocacy and lobbying.from this project, it is expected that the voices of women and young people will be well understood, that their specific needs must be taken into account for development and peace in the drc. this is the reason that the work will be done mainly by the platforms for youth as well as of women (rslf). drc was ranked 179 out of 189 countries in the 2019 gender development index, with violence against women and girls (vawg), particularly endemic in many conflict-affected areas, where more than 2 million women have been raped.the project will provide an evidence-based, transformational model of institutional support and capacity strengthening which will foster a rights-based and community-led approach that promotes women's and youth participation in civic and public decision-making processes at all levels and is conflict-sensitive, through joint collaboration and engagement and the promotion of peacebuilding. the project will further promote collaboration among multiple stakeholders, most notably civil society organizations and movements, wider community members, government representatives at all levels.specific objectives are :- targeted women's movements and youth organizations are empowered for effective participation and representation in decision-making and peacebuilding processes at all levels by 2023. - targeted women's movements and youth organizations have a better understanding of and evolving laws, identifying gaps and undertaking relevant advocacy, and participating in decision-making spaces at all levels.- women and youth in targeted communities have enhanced economic empowerment, through enhanced business development skills and participation in community-driven and environmentally friendly micro-enterprises.the project will support the 11 coordination points of the rien sans les femmes (rslf) movement in 8 provinces, constituting 300 organizations and 1 million women members, as well as 8 provincial youth platforms in 8 provinces, constituting 9,600 youth (1,200 per province).""]"
0,13531,0_human_rights_defenders_droits,Human Rights Defenders,"['human', 'rights', 'defenders', 'droits', 'homme', 'humanos', 'derechos', 'hr', 'humains', 'theme']","['\nHuman Rights Defenders', '', '', '', '', '', '', '', '', '']","['cpdh, human rights projec      cpdh cpdh, human rights projec      cpdh ', 'kopinor zibf human rights ', 'ursprungsfolksseminarium human rights ']"
1,13433,1_costs_administrative_frais_administratifs,Admin Costs ODA Expenses,"['costs', 'administrative', 'frais', 'administratifs', 'staff', 'expenses', 'oda', 'cost', 'salaries', 'administrativos']","['\nAdmin Costs ODA Expenses', '', '', '', '', '', '', '', '', '']","['custos administrativos - ctt administrative costs ', 'npo - kongo   runnig costs administrative costs ', 'adminstrative costs administrative costs ']"
2,11013,2_forest_forestry_forests_deforestation,"Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+","['forest', 'forestry', 'forests', 'deforestation', 'redd', 'timber', 'management', 'sustainable', 'wood', 'forêts']","['\nForest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+', '', '', '', '', '', '', '', '', '']","['fao forest resources assessmen forestry development ', 'a way to a more sustainable ukraine forestry a way to a more sustainable ukraine forestry visits of high level forest delegations of the national forest agency of ukraine to bavaria to foster more sustainable forestry systems under the social, economic and ecological challenges - added value in forestry by producing high quality timber, close to nature forestry under conditions of climate change, biodiversity in second growth forests, good governace in state-owned forest enterprises, european forestry and research (inventory, forest protection), cooperation of forestry and tourism/gastronomy/agriculture, better cooperation alongside value chain forestry/wood industry, forestry and water protection, forestry and recreational needs/forest pedagogics in metropolitan areas.', 'cifor-dry forest africa        cifor-forest forestry policy & admin. management cifor-dry forest africa        cifor-forest']"
3,13148,3_gender_women_equality_femmes,Gender Equality & Women Empowerment,"['gender', 'women', 'equality', 'femmes', 'empowerment', 'mujeres', 'organisations', 'womens', 'género', 'rights']","['\nGender Equality & Women Empowerment', '', '', '', '', '', '', '', '', '']","[""gender helpdesk - gender helpdesk - eurolatin gender helpdesk - gender helpdesk - eurolatin gender helpdesk provides support for mainstreaming of gender equality into sida's projects, programmes, results proposals and more."", 'gender programme gender programme ', 'gender. misc travels gender misc. travels ']"
4,10726,4_peace_conflict_resolution_civilian,Peace-Conflict-Building-Prevention-Resolution,"['peace', 'conflict', 'resolution', 'civilian', 'peacebuilding', 'prevention', 'reconciliation', 'paix', 'building', 'conflits']","['\nPeace-Conflict-Building-Prevention-Resolution', '', '', '', '', '', '', '', '', '']","['ziviler friedensdienst - projekte civilian peace-building, conflict prevention and resolution ', 'mgep-conflict pre.&peace build civilian peace-building, conflict prevention and resolution ', 'berghof foundation for peace support civilian peace-building, conflict prevention and resolution berghof foundation for peace support']"
5,10013,5_climate_change_adaptation_climatique,Climate Adaptation,"['climate', 'change', 'adaptation', 'climatique', 'mitigation', 'climat', 'changement', 'impacts', 'finance', 'countries']","['\nClimate Adaptation', '', '', '', '', '', '', '', '', '']","[' environment/global climate change ', 'global climate change global climate change global climate change [u.s. government - general services administration]', 'international conclave on climate change international conclave on climate change international conclave on climate change']"
6,10575,6_food_security_alimentaire_sécurité,Food Sec. Prog./Alimentaria,"['food', 'security', 'alimentaire', 'sécurité', 'alimentaria', 'seguridad', 'nutrition', 'sovereignty', 'safety', 'la']","['\nFood Sec. Prog./Alimentaria', '', '', '', '', '', '', '', '', '']","['integrated food security programme trincomalee (ifsp) integrated food security programme trincomalee (ifsp) ', 'food security programme food security programmes/food aid ', 'sustainable food security (ayeyawardy) sustainable food security ']"
7,8068,7_disaster_preparedness_risk_disasters,Disaster Prep. Risk Reduction,"['disaster', 'preparedness', 'risk', 'disasters', 'reduction', 'catastrophes', 'warning', 'natural', 'drr', 'emergencies']","['\nDisaster Prep. Risk Reduction', '', '', '', '', '', '', '', '', '']","['humanitarian assistance - disaster preparedness humanitarian assistance - disaster preparedness enhancing disaster risk reduction capacities in capiz', 'disaster preparedness disaster preparedness community based disaster risk reduction in the bicol region - philippines', 'disaster preparedness disaster preparedness enhancing disaster risk reduction capacities in capiz']"
8,7746,8_maternal_newborn_child_health,MNCH mortality care,"['maternal', 'newborn', 'child', 'health', 'santé', 'neonatal', 'care', 'mortality', 'mères', 'mother']","['\nMNCH mortality care', '', '', '', '', '', '', '', '', '']","['op2 - maternal, newborn and child health op2 - maternal, newborn and child health op2 - maternal, newborn and child health', '1.1 - maternal, newborn and child health 1.1 - maternal, newborn and child health 1.1 - maternal, newborn and child health', 'op2 - maternal, newborn and child health op2 - maternal, newborn and child health ']"
