text;label;relevance
 agr. environmental management ;Environmental Policy Admin;1.0
agro-forestry and protection of forestry in zambesia agro-forestry and protection of forestry in zambesia - mozambique 2589/alisei/moz;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 ait environmental development course ;Enviro Ed Trainings;1.0
 amplification of the sidi daoud's wind plant, af amplification of the sidi daoud's wind plant;Wind power farms;1.0
 bin qasim thermal plant extension ;Geothermal Explr/Plants;1.0
 bio-diversity tropenoekologisches begleitprogramm zur erweiterung des ez-instrumentariums;Biodiv Conserv Prog;1.0
 caprivi forestry dev. plan ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 caribbean geothermal technical assistance phase ii the caribbean geothermal technical assistance (cgta) activity is a flexible, demand-driven technical assistance (ta) facility supporting the development of geothermal energy across eastern caribbean island states. phase ii of this support is in completion.;Geothermal Explr/Plants;1.0
cm-energy sector development sil (fy08);Renewable energy;1.0
 cn: beijing rooftop solar photovoltaic scale-up (sunshine schools) project ;Solar PV Energy;1.0
 community forestry proj. ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 computer. energy planning sys. ;Renewable energy;1.0
 dam/hydro-el. power stat. ;Hydro Power Plants Rehab;1.0
 devel. of desert areas ;Combat Desertif Convention;1.0
 electrical distribution rehabilitat ;Hydro Power Plants Rehab;1.0
 energy commodities/equipment ;Renewable energy;1.0
 energy efficiency & market reform ;Renewable energy;1.0
 energy management training ;Renewable energy;1.0
 energy planning/manage. ;Renewable energy;1.0
 energy policy and admin. management energieeffizienz in der netzgebundenen energieversorgung;Renewable energy;1.0
energy policy and admin. management unit 1-eie/06/255-dosbe;Renewable energy;1.0
 energy project,dessie ;Renewable energy;1.0
 energy sector, management ;Renewable energy;1.0
 energy supply, renewable ;Renewable energy;1.0
 energy-related education ;Renewable energy;1.0
 environmental    policy/admin tanga czc &dp;Environmental Policy Admin;1.0
 environmental awareness campaign ;Environmental Policy Admin;1.0
 environmental conventions, developing country representatives to support the participation of developing country representatives in the meetings of international environmental conventions.;Environmental Policy Admin;1.0
 environmental planning & management ;Environmental Policy Admin;1.0
 environmental policy & technology ;Environmental Policy Admin;1.0
 environmental policy advisor ;Environmental Policy Admin;1.0
 environmental policy and admin. mgmt ;Environmental Policy Admin;1.0
 environmental policy and admin. mgmt department of state's oceans and international environment and scientific affairs program.;Environmental Policy Admin;1.0
environmental policy and admin. mgmt e3/framework contract 2004/389971/specific contract 6/ecolas;Environmental Policy Admin;1.0
 environmental policy and admin. mgmt programma ambientale italo egiziano - fase ii - componente undp;Environmental Policy Admin;1.0
 environmental policy and admin. mgmt programma ambientale italo egiziano - fase ii - fondo esperti;Environmental Policy Admin;1.0
environmental policy and admin. mgmt projects life third countries 2005 remarks : split :;Environmental Policy Admin;1.0
environmental policy and admin. mgmt supports international participants at 4 field seminars given by university of montana, colorado state, and university of wisconsin;Environmental Policy Admin;1.0
 environmental policy and administrative management ;Environmental Policy Admin;1.0
 environmental research imrs;Environmental Policy Admin;1.0
environmental sustainability and energy sector (eses) dpl3;Renewable energy;1.0
 experiment. reforestation ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 flax clearance/aforestation ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 forest research / equipment ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 forest. dev. prog. courses ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 forestry department support ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 forestry dept. publication ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 forestry dev.,western ghats ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 forestry development/policy ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 forestry research education and extension project ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 forestry, pressure treat. plants ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 forestry: hornbeam investments ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 geotherm. ener. sahel ;Geothermal Explr/Plants;1.0
 geothermal - consultancy fees ;Geothermal Explr/Plants;1.0
 hot spring sanatorium ;Geothermal Explr/Plants;1.0
 hubei hydropower development in poor areas project ;Hydro Power Plants Rehab;1.0
 hunan lingjintan hydropower pr. ;Hydro Power Plants Rehab;1.0
 hydro electric network ext.,lima ;Hydro Power Plants Rehab;1.0
 hydro-electric power station, af ;Hydro Power Plants Rehab;1.0
 hydro-electric power/dams to assist in and train indian personnel on the planning and execution of large scale hydro and transmission projects.   dam,power house,diversion and power tunnels,transmission line personnel trained in computerized project planning and management.;Hydro Power Plants Rehab;1.0
 hydro-electric project ;Hydro Power Plants Rehab;1.0
 hydro-power redevelopment study ;Hydro Power Plants Rehab;1.0
 hydroelectric plant proj. ;Hydro Power Plants Rehab;1.0
 hydroelectric power, tianshengqiao ;Hydro Power Plants Rehab;1.0
 hydroelectric project,bui ;Hydro Power Plants Rehab;1.0
 hydropower proj.,yoli falls ;Hydro Power Plants Rehab;1.0
 hydropower project, xeset ;Hydro Power Plants Rehab;1.0
 ind. afforest./forestry dev. ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 interactive environmental learning & science promotion project ;Enviro Ed Trainings;1.0
 lower kihansi environmental management project ;Environmental Policy Admin;1.0
 lungga hydro-power project ;Hydro Power Plants Rehab;1.0
 ministry policy adviser: forestry ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 national park prog., virunga ;Biodiv Conserv Prog;1.0
 national park, rwenzori ;Biodiv Conserv Prog;1.0
owen falls hydro-elec. power stat. the rehabilitation and upgrading of 10 turbines at owen falls hydro-electric power station to provide increased electrical power to uganda for the next twenty years.;Hydro Power Plants Rehab;1.0
 peat, feasibility study ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 plantation/forestry sector ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 power & distribution heat ;Geothermal Explr/Plants;1.0
 power generation/renewable sources department of state's oceans and international environment and scientific affairs program.;Renewable energy;1.0
 programme efficacite energetique ;Renewable energy;1.0
 programme to combat desertification ;Combat Desertif Convention;1.0
project of 2.5mw solar + 10mwh ess system for manaung, myanmar establishing solar power system and energy storage system, improving living environment through providing electricity, organizing management system for sustainable operation, capacity building for government officials and operation staff;Solar PV Energy;1.0
 reforestation management, af ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 reforestation, carpenters training ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 reg. solar energy centre ;Solar PV Energy;1.0
 regional environmental activities ;Environmental Policy Admin;1.0
 regional environmental profile ;Environmental Policy Admin;1.0
 rehabilitation du secteur electrique ;Hydro Power Plants Rehab;1.0
 rural energy study ;Renewable energy;1.0
 rural forestry development ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 rural tree plantation proj. ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 second renewable energy ;Renewable energy;1.0
 sector study environm. protection ;Environmental Policy Admin;1.0
 shute timber base worksh. ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 social forestry : trng and extension ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 social forestry proj., orissa ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 solar energy research ;Solar PV Energy;1.0
solar power generation large solar power project of 375mwp / 250 mw capacity in a remote area of one of the poorer states in india constituting an important contribution to the electricity supply of the country. there is furthermore an important job creation in the construction/ and installation stage of the project. the project's scheduled power production corresponds to electricity consumption of 500,000 households in rajasthan and will help it meet the targeted 17 percent of its total energy consumption through solar power by 2021 (currently 2%).;Solar PV Energy;1.0
 solar water heating training in the set up of solar water heating systems.;Solar PV Energy;1.0
 study of energy supply ;Renewable energy;1.0
 subregional environmental training ;Enviro Ed Trainings;1.0
support of the geo-kompsat receiving and analysis system in cambodia to improve response to climate change and natural disasters and reduce damage to residents by supplying the system of receiving and analyzing satellite image data of the weather satellite(geo-kompsat-2a) in cambodia;Climate Adaptation;1.0
 technical assistance - general environment ta - general environment///general environment protection;Environmental Policy Admin;1.0
 thermal  power   plant,   zouxian ;Geothermal Explr/Plants;1.0
 thermal power plant, anpara ;Geothermal Explr/Plants;1.0
 thermal power plant, aqaba ;Geothermal Explr/Plants;1.0
 thermal power plant, assiut ;Geothermal Explr/Plants;1.0
 thermal power plant, baghabari ;Geothermal Explr/Plants;1.0
 thermal power plant, damanhour, af ;Geothermal Explr/Plants;1.0
 thermal power plants refurbishm.,af ;Geothermal Explr/Plants;1.0
 thermal power plt., neyveli ;Geothermal Explr/Plants;1.0
 uganda power sector development project ;Renewable energy;1.0
 university forestry division ;Forest Sustainability: Tropical, Sustainable Management, Deforestation, REDD+;1.0
 urgent electricity rehabilitation ;Hydro Power Plants Rehab;1.0
 uy ose sustainable and efficient ;Green Growth Strategies;1.0
 world wind energy conference: inform politicians & gov on the policy the objectives are to bring informed people in all aspects of renewable energy from around the world together, to share their knowledge and experiences in a common approach to inform politicians, government and municipal officials on the policy.;Renewable energy;1.0
