Variable;Uncorrelated_Estimate;Uncorrelated_Std. Error;Uncorrelated_t-value;Uncorrelated_Pr(>|t|);Correlated_Estimate;Correlated_Std. Error;Correlated_t-value;Correlated_Pr(>|t|)
Correlation coefficient;NA;NA;NA;NA;0.631829858109207;0.0385865138607208;16.3743700814698;0
h1.(Intercept);-3.99132875567278;0.441309923475004;-9.04427601410792;0;7.07731559671824;1.62979371885021;4.3424609598515;1.40895527960261e-05
h1.Colonial Ties;0.506979319903098;0.037483794802395;13.5252933321123;0;0.508879551154599;0.0374201537167442;13.5990769841999;0
h1.Common Language;0.542800183591078;0.0220598461643012;24.6058009447716;0;0.542256364110681;0.0220523928971867;24.5894568738551;0
h1.Common Religion;0.549535733240222;0.0470722290624031;11.6743086993333;0;0.549632132140948;0.0470581531330716;11.6798491982185;0
h1.CPIAbudget;0.050073592973873;0.0175620680289016;2.85123556584952;0.00435496926999068;0.0481991925981659;0.0175330506170163;2.74904770715641;0.00597686863444058
h1.CPIAPublicAdm;0.12745743650253;0.0200539957495801;6.35571275142003;2.07462491630395e-10;0.126540980916629;0.0200397472558586;6.31449984378595;2.7103652655569e-10
h1.distance;-0.397896169559339;0.01687444303851;-23.5798105247847;0;-0.400406522170077;0.0168650286720663;-23.7418227953133;0
h1.EIA;0.0177578026445916;0.0082424861491683;2.15442311011751;0.0312070058451799;0.0185572313649163;0.00823374383837059;2.25380236854547;0.0242086037494458
h1. Investment Agreement;0.0957183114422897;0.0179658904926121;5.32777996624498;9.94204609749971e-08;0.095647139625929;0.0179436591449298;5.33041442959839;9.79888961083475e-08
h1.MDBDummy;0.379892024889401;0.0134759433370181;28.1903845533281;0;0.394892055176347;0.0136544513171214;28.9203898424822;0
h1.INDC15;0.0747355807237101;0.0964051299725838;0.775224106279031;0.438207246074003;0.0736284672304684;0.0920879850692253;0.799544774219131;0.423974595316489
h1.INDC16;0.13749608058219;0.0345696114216265;3.97736841485507;6.968216013159e-05;0.138986712669222;0.0343588794569441;4.04514684023352;5.22903381867668e-05
h1.INDC17;0.133657765934796;0.035006809917518;3.8180504378924;0.000134510429444568;0.134658840299308;0.0348016104230711;3.8693278461056;0.00010913580949401
h1INDC18;0.269022792951747;0.0387019521393563;6.95114272228597;3.62332386316666e-12;0.269214067644074;0.0385109922549253;6.99057728406474;2.73758793412071e-12
h1.NDCActOnly;0.289087841725845;0.0199534094114637;14.4881426409141;0;0.289947791081349;0.0199293702578978;14.5487683418619;0
h1.NDCnonGHG;0.0455333168643804;0.0188331841420581;2.41771739292327;0.0156182015292492;0.042963671707405;0.0188135751399616;2.28365270225257;0.0223919498201868
h1.Provider GDP;0.533410381638513;0.0799299146186452;6.67347618452334;2.49813503216956e-11;0.499857261614338;0.0800778569890719;6.24214084153816;4.31622071417337e-10
h1.ProviderISO_ARE;-0.895911641370833;0.356916821093406;-2.51014126660164;0.0120682872050122;-11.4297614561068;1.53994301276271;-7.42219767964103;1.15241149956091e-13
h1.ProviderISO_AUS;1.08119080973869;0.365085405962984;2.96147364994455;0.00306170690556073;-8.93563625172676;1.46939594513324;-6.08116299852488;1.19313914304087e-09
h1.ProviderISO_AUT;0.651191365388376;0.332016161417502;1.96132430002261;0.0498412043644312;-9.9095955346945;1.53671078384866;-6.44857551521576;1.12906350935305e-10
