Variable;Uncorrelated_Estimate;Uncorrelated_Std. Error;Uncorrelated_t-value;Uncorrelated_Pr(>|t|);Correlated_Estimate;Correlated_Std. Error;Correlated_t-value;Correlated_Pr(>|t|)
Correlation coefficient;NA;NA;NA;NA;0.117887034402002;0.0333693558302838;3.5327932310583;0.000411193935984544
h1.(Intercept);-0.523886652312113;0.59101034388628;-0.886425521535233;0.375388271573488;-0.417436417836034;0.594263004547348;-0.702443892084442;0.482402380866509
h1.Colonial Ties;0.0162342773892554;0.0509135934702043;0.318859390641049;0.749833139712681;0.00887766791977555;0.0509702237146678;0.174173611037552;0.861729023873142
h1.Common Language;0.0817337688460646;0.0373304274808434;2.18946779776383;0.0285628566167091;0.0871135249596003;0.0374084207841615;2.32871431441136;0.0198742052849701
h1.Common Religion;-0.0560126413447773;0.083783258618326;-0.668542167832627;0.503787574376464;-0.0570326372822287;0.083915579125975;-0.679643015948334;0.49673052557758
h1.CPIAbudget;-0.0969142438517014;0.0327100083859606;-2.96283151958156;0.00304823363742712;-0.0923985906363444;0.032846821199824;-2.81301469247927;0.00490794085867963
h1.CPIAPublicAdm;0.226482305378427;0.0362393458560216;6.24962454560405;4.11440437275701e-10;0.22051035830634;0.0364642632725783;6.04730052155387;1.4729286679227e-09
h1.distance;-0.0108164649716587;0.0331459076077293;-0.326328821635175;0.744175584203744;-0.00648182749180935;0.0331920817758199;-0.19528234280657;0.845171919361769
h1.EIA;-0.0155575684966877;0.0134911667177474;-1.15316701825514;0.248841838095875;-0.0166843017241918;0.0135150431826046;-1.23449858788956;0.21701717259586
h1. Investment Agreement;0.109207011727172;0.0294841605155621;3.70392135362074;0.000212292099488698;0.118146993044533;0.0295196844851124;4.00231218948555;6.27264556727347e-05
h1.MDBDummy;0.00352765214917772;0.00462632283048378;0.762517506546086;0.445751198664807;0.00512447719944273;0.0046566924595792;1.10045429109265;0.271134234740712
h1.INDC15;-0.382366163728136;0.208228205246911;-1.83628420210767;0.0663156349849678;-0.241945461530136;0.226664925174199;-1.06741464893253;0.285784636397246
h1.INDC16;0.117112398823494;0.0690055467554202;1.69714471270812;0.0896693046432764;0.0511533191509736;0.0747097415611512;0.684694098548095;0.493536973806603
h1.INDC17;0.0914673227316868;0.0714875567888708;1.27948592510755;0.200725992895413;0.0265664620455944;0.0772109170989765;0.34407649907252;0.730788756117375
h1INDC18;0.0463419269529214;0.0766654450718359;0.604469548301699;0.54553150898312;-0.0259006955914764;0.082039722740387;-0.315709204350174;0.75222323970731
h1.NDCActOnly;0.0256452728206057;0.0348518780498587;0.735836180303336;0.46183039994892;0.0190303263849218;0.0349136713576427;0.545068039106578;0.5857067233658
h1.NDCnonGHG;-0.113954359231323;0.0299728759768256;-3.8019160830422;0.000143581362572531;-0.114005738504944;0.0299997406065805;-3.80022414193596;0.000144565268473063
h1.Provider GDP;-0.092446375787642;0.117442408866372;-0.78716348446862;0.431186170034877;-0.0979383929431031;0.117650790502942;-0.832449935307951;0.40515502603043
h1.ProviderISO_AUS;0.853449326092881;0.410636575802283;2.07835681569634;0.0376765070579346;0.832787428274552;0.409325254510239;2.03453712933249;0.0418974689850073
h1.ProviderISO_AUT;-0.0873317255404414;0.328386065344704;-0.265942239201807;0.790283693870888;-0.111169442953024;0.327134709653102;-0.339827721341184;0.73398627036155
h1.ProviderISO_BEL;0.393386038324279;0.337334461377562;1.16616024558482;0.243549662376885;0.361305643249348;0.336101538094226;1.07498955612651;0.282379404209877
h1.ProviderISO_CAN;0.267327304500864;0.396722585488808;0.673839388729245;0.50041342991813;0.224645714200963;0.39555133217636;0.567930622215177;0.570082077832643
h1.ProviderISO_CHE;-0.154438815928655;0.370445624261834;-0.416900094950228;0.676751484095697;-0.292149915333674;0.369603362552923;-0.790441713830027;0.429269849123562
h1.ProviderISO_CZE;0.672600293740307;0.302091547661401;2.22647836044122;0.0259821568693046;0.631850930396261;0.301118117756346;2.0983490967074;0.0358743184181325
h1.ProviderISO_DEU;0.23575931136636;0.370881365426231;0.63567311098366;0.524989505783428;0.230035936647844;0.370031776169419;0.621665358119197;0.534161934924114
h1.ProviderISO_DNK;-0.631305487608658;0.316694605724913;-1.99342039995788;0.0462154318835799;-0.657588867605065;0.315488816281811;-2.08434921831801;0.0371284134125014
h1.ProviderISO_ESP;0.203651114700968;0.352639327116961;0.57750539727358;0.56359809365733;0.181864105277281;0.351528445964547;0.517352457148296;0.604910141472364
h1.ProviderISO_FIN;-0.201569096650106;0.296531714791154;-0.67975560992547;0.496659218093048;-0.241471889008018;0.295394264920828;-0.817456253162998;0.413667739711424
h1.ProviderISO_FRA;0.180995019673401;0.376055533849304;0.48129864709272;0.630304258471072;0.151213065408263;0.375047440657839;0.403183834938409;0.686812990657796
h1.ProviderISO_GBR;0.657489001975247;0.382362996808152;1.71954139773922;0.0855158364142654;0.640714889145457;0.381384372647107;1.67997153291414;0.0929628545453123
h1.ProviderISO_IRL;0.893016499027369;0.310275230232573;2.87814305498376;0.00400023692812801;0.845169659662554;0.309141742183345;2.73392280736162;0.00625847147241099
h1.ProviderISO_ITA;0.180169886056942;0.363283144518152;0.49594892792484;0.61993044452191;0.155183203383542;0.362253105762298;0.428383362116348;0.668372035889448
h1.ProviderISO_JPN;0.21462051846831;0.316899137499513;0.677251822651742;0.49824619256381;0.203229782024364;0.316186858162591;0.642752147275704;0.520384938026893
h1.ProviderISO_KOR;0.553644189972382;0.345082237646527;1.60438333119738;0.108629582929194;0.549043164747641;0.343939290047441;1.59633743697008;0.110413476021067
h1.ProviderISO_LUX;0.310613271788382;0.246407770719674;1.26056605634305;0.20746523457515;0.266825951897418;0.246206943532162;1.08374665665172;0.278477142619525
h1.ProviderISO_NLD;-0.168867259890055;0.388355339202129;-0.434826672492751;0.663688242963643;-0.203261311656206;0.387171276648119;-0.524990679618366;0.59958967017059
h1.ProviderISO_NOR;0.413384984482348;0.334803963459219;1.23470755904806;0.216939361618484;0.379390161991491;0.333549353703438;1.13743335964851;0.255357168208114
h1.ProviderISO_NZL;-0.402840247353007;0.292814099168471;-1.37575427036125;0.16889772362946;-0.466461252025604;0.292172345871489;-1.59652772966671;0.110371019795924
h1.ProviderISO_PRT;1.4901540673448;0.314770612837171;4.73409526357419;2.20034369502464e-06;1.42015313947294;0.312838790780096;4.53956856159569;5.63694493771472e-06
h1.ProviderISO_SWE;-0.0710699322984662;0.344854621738595;-0.206086645845618;0.836723229946396;-0.117451738662899;0.343603035294329;-0.341823926445501;0.732483402320653
h1.Provider Population;1.76213619889483;2.2767891101705;0.773956705530303;0.438956394327948;1.71307267626332;2.27380803425831;0.753393712421333;0.451213359990094
h1.Recipient GDP;0.0747070635761837;0.0108890525132363;6.8607496828005;6.85007606193722e-12;0.074260047036784;0.0109153008552814;6.80329823440947;1.02251540567977e-11
h1.Recipient Population;-0.0426171402508077;0.105550178235918;-0.403761897545575;0.686387817873112;-0.0290378146532437;0.105744350193058;-0.274603934869611;0.783620542930222
h1.WRI (Vulnerability);1.07511003199452;0.272137672054737;3.95061082090201;7.79519927605055e-05;0.960625862828861;0.272966110958122;3.5192129142223;0.000432829196086448
h1.wto;-0.168748216469749;0.0405428397059894;-4.16221995532344;3.15168543736366e-05;-0.172003101128556;0.0405902956709475;-4.23754245406168;2.25979699184364e-05
h2.(Intercept);0.603991390233963;0.165453270998777;3.65052553260448;0.000261704291148135;0.447923220455208;0.161418263816946;2.77492279909025;0.00552148129007612
h2.climate_class_Climate_Adaptation;-0.0144109442645711;0.00475642753069401;-3.02978320842164;0.00244729336088878;-0.0202660403131106;0.00463502524916113;-4.37236891358434;1.22905613886282e-05
h2.Colonial Ties;0.0552873094809824;0.00966273657321377;5.72170306642171;1.05461508415061e-08;0.0529677053717963;0.00943025860573157;5.61678184939735;1.9454678978903e-08
h2.Common Language;0.0215661551275917;0.00763704656900655;2.8238868170732;0.00474451360942307;0.0254064978555005;0.00745721322456688;3.40696947913491;0.00065688471991332
h2.Common Religion;0.00143889256425803;0.0238053670677575;0.0604440402100288;0.951801983740009;0.0251626334077003;0.0232132645549638;1.08397650611015;0.278375215784724
h2.CPIAbudget;0.0112895605180805;0.00941361296511372;1.19928029332829;0.23041897515353;0.00747739898563122;0.00918339597738818;0.814230269939623;0.415513047649903
h2.CPIAPublicAdm;-0.0139792979541286;0.0126777672130251;-1.10266245776829;0.270173775874135;-0.0118015505192787;0.0123758838985108;-0.953592536586316;0.34028993510078
h2.Distance;-0.0410836715471241;0.00772546772407579;-5.31795264888496;1.04941368928024e-07;-0.0359778614220167;0.0075348258805617;-4.77487628676758;1.79817761769563e-06
h2.EIA;0.0088775513293136;0.00315566039405042;2.81321505509625;0.00490488356586827;0.0101021342163804;0.00307820432492084;3.28182704916452;0.00103136843275209
h2. Investment Agreement;0.0211852091480109;0.00598553941142868;3.53939848889146;0.00040103997527563;0.0294628093568096;0.00585664191409904;5.03066600091804;4.88778982399296e-07
h2.MDBDummy;-0.00140887247803075;0.000989731821680271;-1.42348911813192;0.154594414432298;0.000574370387296589;0.000966455070048606;0.59430635225257;0.552307230762287
h2.Provider debt to GDP;0.133804524885678;0.0435641991063533;3.07143314075443;0.00213033868119683;0.159360335946165;0.0424520522124529;3.75389003925277;0.000174111266794563
h2.Provider fiscal Bal;-0.122354124601047;0.155270793338406;-0.788004762327595;0.430693920261557;-0.111676491232225;0.151267525671886;-0.738271421682814;0.4603495291943
h2.Provider GDP;0.163504605451926;0.0357809125638036;4.56960411952513;4.88646358531852e-06;0.183976032994619;0.0348860070056486;5.27363400932731;1.33748507824549e-07
h2.ProviderISO_AUS;-0.354207742661542;0.127649803008318;-2.77483971235318;0.00552289202493439;-0.397357826277798;0.124470400051053;-3.1923881189007;0.00141101595633319
h2.ProviderISO_AUT;-0.249518747129204;0.101624743347024;-2.45529522546648;0.0140768927984303;-0.294670144275772;0.0990688731604349;-2.97439685014459;0.00293565136596174
h2.ProviderISO_BEL;-0.313989233417847;0.111589894530116;-2.81377838683328;0.00489629702875316;-0.366692717759773;0.108783245625605;-3.3708565657418;0.000749348623000801
h2.ProviderISO_CAN;-0.400107107111748;0.124136109535721;-3.22313232312645;0.00126796964656894;-0.462795080708904;0.121018626166201;-3.82416405945084;0.0001312165233327
h2.ProviderISO_CHE;-0.137456423799037;0.111950480193338;-1.22783237339983;0.219509900209324;-0.258394734512019;0.109166054995005;-2.36698792975384;0.0179335176746398
h2.ProviderISO_CZE;-0.221013792450468;0.0785135426948761;-2.81497668891829;0.00487807721803235;-0.232526582877376;0.0765861577820404;-3.03614373160138;0.00239625106211805
h2.ProviderISO_DEU;-0.33415215320514;0.115609839211371;-2.89034355107272;0.00384821021999815;-0.391591274777988;0.112707421201846;-3.47440541716142;0.000511986827492983
h2.ProviderISO_DNK;-0.0074477912086741;0.093584153465617;-0.0795838924953297;0.936568206504141;-0.043417324617937;0.0912620242896017;-0.475743607003071;0.634257050062937
h2.ProviderISO_ESP;-0.465412341155299;0.118430051305424;-3.92985003405113;8.49988576010485e-05;-0.525569379072649;0.115445060167637;-4.55254974365704;5.29996238696206e-06
h2.ProviderISO_FIN;-0.245962877440363;0.088551013671279;-2.77764044975738;0.00547551703902704;-0.284898081903085;0.0863303853646182;-3.30009046872445;0.000966536654058991
h2.ProviderISO_FRA;-0.597686362817457;0.12420326021079;-4.8121632379303;1.49305322505455e-06;-0.679172524056531;0.121077668382027;-5.60939546600442;2.03034589141282e-08
