Variable;Uncorrelated_Estimate;Uncorrelated_Std. Error;Uncorrelated_t-value;Uncorrelated_Pr(>|t|);Correlated_Estimate;Correlated_Std. Error;Correlated_t-value;Correlated_Pr(>|t|)
Correlation coefficient;NA;NA;NA;NA;0.674328785895161;0.0462972961090925;14.5651872261872;0
h1.(Intercept);-6.62517471917563;0.40073110421645;-16.532718946611;0;-6.61956597029346;0.402049258726179;-16.4645645443207;0
h1.Colonial Ties;0.476358235107836;0.0398822540331363;11.9441151623991;0;0.474738554230879;0.0398310486328299;11.9188063213476;0
h1.Common Language;0.46616423896154;0.0253476520431696;18.390825239656;0;0.463200067528999;0.0253525408160289;18.2703607851465;0
h1.Common Religion;0.474410579501331;0.0508061660771485;9.33765753512957;0;0.479476946563658;0.0508150933452693;9.43571909443901;0
h1.CPIAbudget;0.0267478084333994;0.0195971318769842;1.36488383102699;0.172289564949638;0.0251756817491651;0.0195908242611867;1.28507516649226;0.198766018606082
h1.CPIAPublicAdm;0.211851873423509;0.0223545963139973;9.47688208938304;0;0.212790728929159;0.0223391673293384;9.52545481181378;0
h1.distance;-0.344920003335174;0.01844531962654;-18.6995948196466;0;-0.34711956950355;0.0184332571002222;-18.8311575982611;0
h1.EIA;0.0361539730945638;0.00892216391907664;4.05215297796337;5.07484635914324e-05;0.0358196530065836;0.0089141668407785;4.0182838897208;5.86235416109027e-05
h1. Investment Agreement;0.101037393496074;0.0195781460297183;5.16072325452603;2.4599760450883e-07;0.104235845878042;0.0195537023859541;5.33074728358948;9.78094496506543e-08
h1.MDBDummy;0.396314360917574;0.0150523993846561;26.3289825621797;0;0.395854501247372;0.0150495910490617;26.3033394035018;0
h1.INDC15;0.221761524322956;0.100936998304084;2.19702911765687;0.0280183667299494;0.213368827521936;0.0950249337736611;2.24539832913914;0.024742572588498
h1.INDC16;0.0730823546368809;0.037862990328777;1.9301791538989;0.0535846435546248;0.0737833682915501;0.0376137043166481;1.96160866450192;0.0498080627386224
h1.INDC17;0.0590869461959621;0.038459118350297;1.53635727313821;0.124450779834762;0.0568651850513214;0.0382220655308232;1.48775803352291;0.136814716774728
h1.INDC18;0.20194764262743;0.0424648327356174;4.7556443677699;1.97814436009303e-06;0.198450731870591;0.0422512943654998;4.69691484842737;2.6412049358715e-06
h1.NDCActOnly;0.294646564629605;0.0221846057166182;13.281577702726;0;0.295342702761053;0.022176401960429;13.317881921876;0
h1.NDCnonGHG;0.0901031501467648;0.0207585765831124;4.34052642222424;1.42141774686078e-05;0.0893233053596379;0.0207484452266225;4.30506018084798;1.66940346981725e-05
h1.Provider GDP;1.30795184075896;0.092111422128335;14.199670470147;0;1.3008334246677;0.092119849134085;14.1210980792453;0
h1.ProviderISO_ARE;-2.72068599751196;0.23870384885542;-11.397746666246;0;-2.67853915786721;0.241000930221841;-11.114227465436;0
h1.ProviderISO_AUS;-2.40560438519826;0.305399629493607;-7.87690669169137;3.33066907387547e-15;-2.35154138710871;0.306867814532784;-7.66304342046755;1.82076576038526e-14
h1.ProviderISO_AUT;-1.79641638700937;0.231151458400503;-7.77159875797461;7.7715611723761e-15;-1.74439262232949;0.233316536789101;-7.47650657915551;7.63833440942108e-14
h1.ProviderISO_BEL;-1.52437340727787;0.239628590583079;-6.36140038034976;1.99922522980955e-10;-1.47403038504614;0.241647724462082;-6.09991419669848;1.06125419563341e-09
h1.ProviderISO_CAN;-2.92358607249018;0.301611155280429;-9.69322924999879;0;-2.862961057722;0.303032413332957;-9.44770569667186;0
h1.ProviderISO_CHE;-2.55701798156464;0.271859561155278;-9.40565772525526;0;-2.5002343006853;0.273700004977326;-9.13494430112425;0
h1.ProviderISO_CZE;-1.18760571518445;0.182008179627515;-6.52501287367917;6.79956091431677e-11;-1.14229419053634;0.184731305452962;-6.1835441899543;6.2678173762265e-10
h1.ProviderISO_DEU;-2.44590567349936;0.284991199898726;-8.58239017334057;0;-2.39627419340054;0.286043805955401;-8.3772979645438;0
h1.ProviderISO_DNK;-1.51568991347805;0.218154089171467;-6.94779510773565;3.71036534829727e-12;-1.46382090376017;0.220494277891814;-6.6388158357488;3.16213721873737e-11
h1.ProviderISO_ESP;-2.15373467498606;0.259376696596628;-8.30350105944738;0;-2.10073436263053;0.260851194478937;-8.0533821852986;8.88178419700125e-16
h1.ProviderISO_FIN;-0.861924668124145;0.198037132626883;-4.35233865836705;1.34692988627005e-05;-0.81353053693202;0.200602172543036;-4.05544230463153;5.00395232427842e-05
h1.ProviderISO_FRA;-2.78442008454673;0.285137483386327;-9.76518432960349;0;-2.7247156010916;0.286389511921821;-9.51402019860072;0
h1.ProviderISO_GBR;-3.29715539888697;0.292789828603587;-11.2611678302221;0;-3.23473423981356;0.293994009932505;-11.0027215879541;0
h1.ProviderISO_GRC;-1.99994333563748;0.220137953668561;-9.08495469458478;0;-1.95402028890784;0.222489080328388;-8.78254468050188;0
h1.ProviderISO_IRL;-1.43532804066414;0.209722248726253;-6.84394740844901;7.70405961247889e-12;-1.385169103557;0.212222949917418;-6.52695245305001;6.71214195335779e-11
h1.ProviderISO_ISL;1.19564985798846;0.178472968092416;6.69933307417926;2.0937251932196e-11;1.23042026438248;0.181491113343092;6.77950695060475;1.20585763596637e-11
h1.ProviderISO_ITA;-2.24845644502084;0.271955685265292;-8.26773098281607;2.22044604925031e-16;-2.20204160428873;0.273229263811058;-8.05931829400043;6.66133814775094e-16
h1.ProviderISO_JPN;-1.63848506519783;0.234428272568642;-6.98928097385556;2.76290101908216e-12;-1.58201786851845;0.235286491012441;-6.72379388085991;1.77053927075121e-11
h1.ProviderISO_KOR;-1.66945123933765;0.254943434400129;-6.54832019214692;5.81878989436291e-11;-1.62575483330958;0.256386655195279;-6.34102750812564;2.282378730456e-10
h1.ProviderISO_LUX;0.464260590556551;0.125817127874689;3.68996334917886;0.000224286363276427;0.505215056628618;0.12998209775092;3.88680491675664;0.000101572317855902
h1.ProviderISO_NLD;-2.87983943091634;0.277568338183406;-10.3752447046517;0;-2.82469444666905;0.279271537261966;-10.1145088911062;0
h1.ProviderISO_NOR;-1.12304896887109;0.240933162691239;-4.66124694635872;3.14299337422774e-06;-1.06951952444479;0.243034409936476;-4.4006917568765;1.07906320296891e-05
h1.ProviderISO_NZL;-1.23324941590907;0.186671235983444;-6.60653158164364;3.93427512790367e-11;-1.18192813431372;0.189429082168889;-6.23942280024323;4.39188463374762e-10
h1.ProviderISO_POL;-1.83695340289573;0.202960489666463;-9.05079311699781;0;-1.79283863469176;0.204992900145157;-8.74585721467544;0
h1.ProviderISO_PRT;-1.48009288217326;0.187631241944891;-7.88830722875022;3.10862446895044e-15;-1.432658623035;0.190272948093747;-7.52949190827239;5.08482145278322e-14
h1.ProviderISO_SVN;-0.0127494245062173;0.157196544513843;-0.0811049921335552;0.935358455621419;0.0258472335756803;0.160592932848166;0.16094876105238;0.872133757130276
h1.ProviderISO_SWE;-1.50729503663869;0.249055014553287;-6.05205656807281;1.43008227482255e-09;-1.44965147207289;0.251070990853956;-5.77387083685879;7.74708319717377e-09
h1.Provider Population;-18.3636022513453;1.78654961852341;-10.2788089739835;0;-18.1097722896343;1.7894254609851;-10.1204395961062;0
h1.Recipient GDP;0.172564257912035;0.00629401584651838;27.4171947005014;0;0.173194783365998;0.00629113702503915;27.52996519972;0
h1.Recipient Population;-0.0486870748755251;0.0637104855696809;-0.764192494220994;0.444752538788783;-0.0315778503581487;0.0635145045833758;-0.497175417887364;0.619065354749933
h1.WRI Vulnerability;1.28903397259227;0.163728933381168;7.87297605849142;3.5527136788005e-15;1.30735852624102;0.163579609028036;7.99218517521305;1.33226762955019e-15
h1.wto;-0.0744367915747608;0.021945321847714;-3.39192070598476;0.000694045226014461;-0.0756495483955801;0.021944412007399;-3.44732628835412;0.000566164362742372
h2.(Intercept);-0.0906002841863625;0.55175198134994;-0.164204728299654;0.869569978988226;-0.95518586676549;0.565138479833453;-1.69018019627151;0.0909934858959389
h2.Agri;-0.0579268995721586;0.00722561435715777;-8.01688226202878;1.11022302462516e-15;-0.0564190344111036;0.0072265497454063;-7.8071882708574;5.77315972805081e-15
h2.Colonial Ties;0.0188295522964861;0.0133001682981681;1.41573789702192;0.156852258322743;0.0748862148383253;0.0155179720997224;4.82577326193704;1.39461100334692e-06
h2.Common Language;0.0181784991826514;0.00926355260021313;1.96236799931737;0.049719655626902;0.074316653451059;0.0115632586752815;6.42696453811278;1.30177202350978e-10
h2.Common Religion;0.0460029492879691;0.0250293968089413;1.83795676895959;0.0660687758556053;0.10093876070261;0.0262948373430895;3.83872922983256;0.000123672721799251
h2.CPIAbudget;0.0143826940333087;0.0113971925491072;1.26195060505803;0.206966560895057;0.0177341974547558;0.0115861729052544;1.53063462799811;0.125859718515177
h2.CPIAPublicAdm;0.0105857386897605;0.0179704604855843;0.589063296305195;0.555818813863251;0.0386661610463234;0.0184785843762758;2.09248502260628;0.0363951501711943
h2.Distance;-0.051803454173892;0.00831130077079545;-6.23289369528304;4.57896831562721e-10;-0.0915076193967049;0.0095198966293507;-9.61224926692783;0
h2.EIA;0.00211819283766075;0.00359664076073184;0.588936448918447;0.555903905853257;0.00604540528055084;0.00377756973436977;1.6003424703315;0.109522630021877
h2.Energy;-0.0106732939677707;0.00656017401517428;-1.62698336097219;0.103740631713849;-0.00728109120008854;0.00660460928653614;-1.10242572788241;0.270276631537478
h2.EnvProtect;-0.0654441089527976;0.00837280989115221;-7.81626596131775;5.55111512312578e-15;-0.0632234711901738;0.0083605281782702;-7.56213840107585;3.97459842815806e-14
h2. Investment Agreement;0.0305803686699305;0.00680380002000064;4.4946013374931;6.97004047078842e-06;0.04124100062583;0.00726189215572659;5.67909846930295;1.35406514889524e-08
h2.MDBDummy;0.0109595251048391;0.00622421369696684;1.76078869370759;0.0782741741924666;0.0597906226571243;0.00847091591206725;7.0583421294443;1.68509650677606e-12
h2.MultiSec;0.0263032158368188;0.0180913937254831;1.45390765553727;0.14597191006398;0.0227475269066344;0.0183428247570313;1.24013216110102;0.214926515125225
h2.Provider debt to GDP;-0.245556020567719;0.0524994230767406;-4.67730893363875;2.90664189717127e-06;-0.248154463421103;0.0521216682006942;-4.76106141625371;1.92577426894047e-06
h2.Provider fiscal Bal;-0.214997407745119;0.159476224495216;-1.3481470885434;0.177611078729004;-0.188813058017441;0.15891206924052;-1.18816059044367;0.234770146829053
h2.Provider GDP;-0.0167824453087164;0.0430207576668455;-0.390101109763812;0.696461782244633;0.143166916081917;0.0482277457411538;2.96855915369376;0.00299199507321624
