covariate,estimate,se,ci_low,ci_high,n_trimmed
colony,81.2462338485284,24.5391171669148,33.1495642013755,129.342903495681,753
comlang,-15.7711220387898,12.3221317774776,-39.9225003226458,8.38025624506626,753
comrelig,-12.7344851877263,23.2263264339303,-58.2580849982296,32.789114622777,753
wto,15.472658822483,11.749570417154,-7.55649919513879,38.5018168401048,753
EIA,-6.3701063724618,6.30957555958005,-18.7368744692387,5.9966617243151,753
InvestAgree,-5.44154739772364,9.36541028803424,-23.7977515622708,12.9146567668235,753
MDBDummy,-9.7785041951325,10.2150630181081,-29.8000277106244,10.2430193203594,753
NDCActOnly,20.1579415118958,9.73239618079979,1.08244499752821,39.2334380262634,753
NDCnonGHG,28.6194420577883,11.5210284587351,6.03822627866744,51.2006578369092,753
NDC15,17.9141924645796,8.71128053828054,0.840082609549754,34.9883023196095,753
NDC16,3.84548923666962,14.3747932557042,-24.3291055445107,32.0200840178499,753
NDC17,29.2082470015159,35.6733400220734,-40.711499441748,99.1279934447798,753
NDC18,120.779675442865,35.37057239846,51.4533535418839,190.105997343847,753
RecipientWRIVul,12.7868402434577,53.0659301991673,-91.2223829469101,116.796063433826,753
CPIAPublicAdm,30.4410455710741,12.9382829535061,5.08201098220205,55.8000801599461,753
CPIAbudget,-23.3713332497431,10.9546679370102,-44.842482406283,-1.90018409320316,753
RecipientGDPtot,10.3503248687467,4.32120592779122,1.88076125027595,18.8198884872175,753
ProviderGDPtot,-3.52763141043949,5.65673850134103,-14.6148388730679,7.55957605218894,753
RecipientPop,-86.2812693489369,175.336875967285,-429.941546244816,257.379007546942,753
ProviderPop,358.578898953614,136.745020906965,90.5586579759616,626.599139931266,753
Recipientdebt,-42.7000478248494,26.1058837854842,-93.8675800443984,8.46748439469963,753
Providerdebt,-5.80050409641065,6.99444318494049,-19.509612738894,7.90860454607271,753
RecipientfisB,-117.151097767828,103.446464020245,-319.906167247509,85.6039717118534,753
ProviderfisB,300.997032798968,88.9279432165338,126.698264094562,475.295801503375,753
distw,-11.6537592722815,8.18490858004022,-27.6961800891603,4.38866154459737,753
