covariate,estimate,se,ci_low,ci_high,n_trimmed
colony,-0.0959353271254342,0.055320818240254,-0.204364130876332,0.0124934766254637,1817
comlang,0.22195203061015,0.0445078685447359,0.134716608262468,0.309187452957833,1817
comrelig,0.243750520190297,0.13684099727552,-0.0244578344697222,0.511958874850317,1817
wto,-0.109907617423441,0.0702172867176092,-0.247533499389955,0.0277182645430731,1817
EIA,-0.0435904222722965,0.0258625008647636,-0.0942809239672331,0.00710007942264015,1817
InvestAgree,0.0655954228560427,0.040385144516481,-0.0135594603962601,0.144750306108346,1817
MDBDummy,0.0115853397198884,0.0752853347028583,-0.135973916297714,0.159144595737491,1817
NDCActOnly,0.0982113600587083,0.0892709626536701,-0.0767597267424852,0.273182446859902,1817
NDCnonGHG,-0.124723382710167,0.0710515253515029,-0.263984372399113,0.0145376069787786,1817
NDC15,-0.250405252712787,0.226696333446237,-0.69473006626741,0.193919560841837,1817
NDC16,0.0448442401050683,0.100885092255476,-0.152890540715664,0.2425790209258,1817
NDC17,-0.0241042205893603,0.100847674423041,-0.221765662458521,0.1735572212798,1817
NDC18,0.0202983868386529,0.122347572777563,-0.21950285580537,0.260099629482676,1817
RecipientWRIVul,-0.532389210905799,0.420327512362856,-1.356231135137,0.2914527133254,1817
CPIAPublicAdm,0.00700121032348104,0.0678053970168549,-0.125897367829555,0.139899788476517,1817
CPIAbudget,-0.0309839392392784,0.0448313795005101,-0.118853443060278,0.0568855645817214,1817
RecipientGDPtot,-0.0121129681387544,0.0200287218962038,-0.0513692630553138,0.0271433267778051,1817
ProviderGDPtot,-0.021242136171067,0.0241782849114413,-0.068631574597492,0.026147302255358,1817
RecipientPop,0.231749067311573,0.640490812033907,-1.02361292427488,1.48711105889803,1817
ProviderPop,-0.0779810063382973,0.335602864364013,-0.735762620491763,0.579800607815168,1817
Recipientdebt,-0.156768350979805,0.102729623730717,-0.358118413492011,0.0445817115324008,1817
Providerdebt,0.195043281743918,0.0604030658474725,0.0766532726828722,0.313433290804964,1817
RecipientfisB,-0.317286220714923,0.51684808566595,-1.33030846862018,0.695736027190339,1817
ProviderfisB,-0.195202680360638,0.674849765141311,-1.51790822003761,1.12750285931633,1817
distw,0.0146563263640618,0.039195652173255,-0.0621671518955181,0.0914798046236417,1817
