covariate,estimate,se,ci_low,ci_high,n_trimmed
colony,0.178895616308794,0.0569603838166242,0.067253264028211,0.290537968589378,753
comlang,0.0861895682477091,0.0419062819053543,0.00405325571321467,0.168325880782204,753
comrelig,0.0723645757485943,0.0793680866881687,-0.0831968741602163,0.227926025657405,753
wto,-0.000319520566058873,0.0487379409146357,-0.0958458847587448,0.095206843626627,753
EIA,-0.0183539594436251,0.0170274560722097,-0.0517277733451561,0.0150198544579058,753
InvestAgree,-0.0385308069212662,0.0393552399385108,-0.115667077200747,0.0386054633582149,753
MDBDummy,-0.0286819203147332,0.0329178261888886,-0.0932008596449548,0.0358370190154884,753
NDCActOnly,0.00705025243512318,0.0562995862273284,-0.10329693657044,0.117397441440687,753
NDCnonGHG,-0.0361654977018678,0.0460473943072611,-0.1264183905441,0.0540873951403639,753
NDC15,0.170482890114485,0.278100449758357,-0.374593991411894,0.715559771640864,753
NDC16,-0.0116073961351531,0.0477907641167887,-0.105277293804059,0.0820625015337527,753
NDC17,0.0498810192184967,0.09230742576613,-0.131041535283118,0.230803573720111,753
NDC18,0.0322489280609757,0.125204180622335,-0.2131512659588,0.277649122080752,753
RecipientWRIVul,-0.0567066113624263,0.265835939499873,-0.577745052782176,0.464331830057324,753
CPIAPublicAdm,0.0207201693324418,0.0520096278509074,-0.0812187012553368,0.12265903992022,753
CPIAbudget,0.00369786908060491,0.0338710439079887,-0.0626893769790529,0.0700851151402628,753
RecipientGDPtot,0.000399970722642611,0.0178662408734771,-0.0346178613893726,0.0354178028346578,753
ProviderGDPtot,-0.0420440280123631,0.0188234301044067,-0.0789379510170004,-0.0051501050077259,753
RecipientPop,0.159480419430082,0.794674144575396,-1.39808090393769,1.71704174279786,753
ProviderPop,1.11604205927677,0.358143015588521,0.414081748723269,1.81800236983027,753
Recipientdebt,-0.108322871669756,0.0687916820281645,-0.243154568444959,0.026508825105446,753
Providerdebt,-0.0287764569176941,0.056514268299385,-0.139544422784489,0.0819915089491005,753
RecipientfisB,-0.243782093311301,0.487209667907177,-1.19871304240937,0.711148855786766,753
ProviderfisB,1.05835804591488,0.382105260953223,0.309431734446566,1.8072843573832,753
distw,-0.0259584675594005,0.0301376414598629,-0.0850282448207319,0.0331113097019308,753
