trim_lo,trim_hi,n_trimmed,covariate,estimate,se,convergence,label
0.01,0.99,1817,colony,-0.0959353271254342,0.055320818240254,0.85,adapt
0.01,0.99,1817,comlang,0.22195203061015,0.0445078685447359,0.85,adapt
0.01,0.99,1817,comrelig,0.243750520190297,0.13684099727552,0.85,adapt
0.01,0.99,1817,wto,-0.109907617423441,0.0702172867176092,0.85,adapt
0.01,0.99,1817,EIA,-0.0435904222722965,0.0258625008647636,0.85,adapt
0.01,0.99,1817,InvestAgree,0.0655954228560427,0.040385144516481,0.85,adapt
0.01,0.99,1817,MDBDummy,0.0115853397198884,0.0752853347028583,0.85,adapt
0.01,0.99,1817,NDCActOnly,0.0982113600587083,0.0892709626536701,0.85,adapt
0.01,0.99,1817,NDCnonGHG,-0.124723382710167,0.0710515253515029,0.85,adapt
0.01,0.99,1817,NDC15,-0.250405252712787,0.226696333446237,0.85,adapt
0.01,0.99,1817,NDC16,0.0448442401050683,0.100885092255476,0.85,adapt
0.01,0.99,1817,NDC17,-0.0241042205893603,0.100847674423041,0.85,adapt
0.01,0.99,1817,NDC18,0.0202983868386529,0.122347572777563,0.85,adapt
0.01,0.99,1817,RecipientWRIVul,-0.532389210905799,0.420327512362856,0.85,adapt
0.01,0.99,1817,CPIAPublicAdm,0.00700121032348104,0.0678053970168549,0.85,adapt
0.01,0.99,1817,CPIAbudget,-0.0309839392392784,0.0448313795005101,0.85,adapt
0.01,0.99,1817,RecipientGDPtot,-0.0121129681387544,0.0200287218962038,0.85,adapt
0.01,0.99,1817,ProviderGDPtot,-0.021242136171067,0.0241782849114413,0.85,adapt
0.01,0.99,1817,RecipientPop,0.231749067311573,0.640490812033907,0.85,adapt
0.01,0.99,1817,ProviderPop,-0.0779810063382973,0.335602864364013,0.85,adapt
0.01,0.99,1817,Recipientdebt,-0.156768350979805,0.102729623730717,0.85,adapt
0.01,0.99,1817,Providerdebt,0.195043281743918,0.0604030658474725,0.85,adapt
0.01,0.99,1817,RecipientfisB,-0.317286220714923,0.51684808566595,0.85,adapt
0.01,0.99,1817,ProviderfisB,-0.195202680360638,0.674849765141311,0.85,adapt
0.01,0.99,1817,distw,0.0146563263640618,0.039195652173255,0.85,adapt
0.05,0.95,6040,colony,-0.0381666046650919,0.0611730305956852,0.84,adapt
0.05,0.95,6040,comlang,0.185460562001345,0.0368340749830288,0.84,adapt
0.05,0.95,6040,comrelig,0.00547320956646114,0.112643666912145,0.84,adapt
0.05,0.95,6040,wto,-0.110212204431125,0.0809171701807803,0.84,adapt
0.05,0.95,6040,EIA,-0.0393364114174402,0.0245238020290758,0.84,adapt
0.05,0.95,6040,InvestAgree,0.0535909287510533,0.0382132141058275,0.84,adapt
0.05,0.95,6040,MDBDummy,0.0363653034070635,0.0611319136521604,0.84,adapt
0.05,0.95,6040,NDCActOnly,0.0682821061460442,0.064457570708148,0.84,adapt
0.05,0.95,6040,NDCnonGHG,-0.0652854258325119,0.0807935645749273,0.84,adapt
0.05,0.95,6040,NDC15,-0.276341902673968,0.236198832342232,0.84,adapt
0.05,0.95,6040,NDC16,0.00709080280323911,0.18405537313501,0.84,adapt
0.05,0.95,6040,NDC17,-0.0707157153691483,0.183114154016894,0.84,adapt
0.05,0.95,6040,NDC18,-0.0463531794392429,0.186737938374386,0.84,adapt
0.05,0.95,6040,RecipientWRIVul,-0.20756965275558,0.354085905752262,0.84,adapt
0.05,0.95,6040,CPIAPublicAdm,-2.578861522957e-06,0.0650348569771892,0.84,adapt
0.05,0.95,6040,CPIAbudget,0.0127605370541451,0.0536813085886212,0.84,adapt
0.05,0.95,6040,RecipientGDPtot,-0.00683704051608741,0.0252690456297777,0.84,adapt
0.05,0.95,6040,ProviderGDPtot,0.0175549483016948,0.0312475462894629,0.84,adapt
0.05,0.95,6040,RecipientPop,0.19272696664261,0.629179353459917,0.84,adapt
