covariate,ape_unconditional,ape_selection,ape_intensive,ape_unconditional_se,ape_selection_se,ape_intensive_se,ape_dollar_per_dyad_sector_year
colony,0.608101984037329,0.0423337275720821,0.0485606465372651,0.500346130854339,0.0428375040168184,0.0401194352144014,1.71286744577708
comlang,0.242479091762537,0.0481364468130232,0.0193634322631911,0.322360826293513,0.0308027798694772,0.0258018685879787,0.683001459400184
comrelig,-0.231462277287042,-0.00354894187260797,-0.0184836723197665,0.856581767131639,0.11744801824621,0.0685048136420768,-0.65196991639163
CPIAPublicAdm,-0.0251507918140306,0.00743293134248017,-0.00200844390519568,0.126559693616836,0.0144636963663353,0.0101202944938137,-0.070843334941537
distw,-0.217536101619155,0.00307189957992651,-0.0173715826001952,0.1244666408437,0.0140373131288558,0.00997122048044563,-0.612743448509835
MDBDummy,0.00295343697631689,-0.000326692045801369,0.00023584993021035,0.0338297917636811,0.00361436346459488,0.00270957299154867,0.00831907506089792
InvestAgree,0.297647184912017,0.0351464128370707,0.0237689408029264,0.287516113775375,0.0218242065320745,0.023009986832316,0.838395839425001
RecipientGDPtot,-0.00516595172686074,-0.0360010731115052,-0.000412532708198,0.364604939969709,0.0344373193230262,0.0292101957861329,-0.0145511620939761
ProviderGDPtot,0.806488779787201,-0.0329166125397574,0.0644030409204478,0.211094028763635,0.0444005463774866,0.0168285597156837,2.27167220720197
Providerdebt,-0.0181877540408467,0.0626136317977265,-0.00145240293119467,0.296716006357377,0.066317575762546,0.0237447246760489,-0.0512302420089695
