covariate,ape_unconditional,ape_selection,ape_intensive,ape_unconditional_se,ape_selection_se,ape_intensive_se,ape_dollar_per_dyad_sector_year
colony,0.132180522937129,0.060920393690711,0.0109321849864282,0.450785481922274,0.0273520202719105,0.0373423696215381,0.733199829698963
comlang,0.0967961050507223,0.0615904320840473,0.00800566586688971,0.301322100545923,0.0135034358847912,0.0249505889806962,0.536923944327786
comrelig,-0.65184068137199,0.0381022117528913,-0.053911526129143,0.546167169102073,0.0379748458070523,0.0450181935525396,-3.61573298359642
CPIAPublicAdm,0.155048097603681,-0.00065818009126593,0.0128234854006184,0.134874507185498,0.00759717725813271,0.0111534239880982,0.860045309491168
distw,-0.253434570324755,-0.00911349785467356,-0.0209606861536885,0.116598962854176,0.00520924698779729,0.0096552754048219,-1.40579095673819
MDBDummy,0.0216083511077252,0.00113980679403758,0.00178715114217085,0.025017330618694,0.00116466699803881,0.00207507125066326,0.119860619403021
InvestAgree,0.429416900139376,-0.0212330649151589,0.0355155507233406,0.214378731811486,0.00945924762108719,0.0177095123419328,2.38195757632011
RecipientGDPtot,0.333449317152636,-0.0235975543118424,0.0275784257692273,0.336047295539475,0.0177550762530474,0.0278995437571371,1.8496294092121
ProviderGDPtot,0.752173193065081,0.0133392652294107,0.0622096117918215,0.293134304033529,0.0111220555963153,0.0242706288873407,4.17227322759011
Providerdebt,-0.732073115681879,0.0129469959905334,-0.0605472047520874,0.488807882143492,0.015977826754897,0.0403201219033164,-4.060778939424
