label,covariate,is_binary,point_estimate,lower_bound,upper_bound,q_trim,n_trimmed,median_value,ci_low_lower,ci_high_upper,r1,r0,convergence,msg
miti,colony,1,0.173460424761339,-0.0596430374480593,0.272340972368271,0.714658048373645,189,,-0.169246698346623,0.321462843315709,0.571428571428571,0.163052543786489,1,ok
miti,comlang,1,0.0594936454448026,-0.0508252996710981,0.142125905441796,0.462620236210885,265,,-0.134743293302182,0.198019474652306,0.293846153846154,0.157906976744186,1,ok
miti,comrelig,1,,,,,0,,,,,0.175757575757576,0,tight: degenerate retention (one cell empty)
miti,wto,1,0.0176945012163874,-0.0650957359457366,0.0888432301888481,0.332859617178132,758,,-0.178831408547367,0.223564886317396,0.186945812807882,0.124719101123596,1,ok
miti,EIA,1,-0.00264784502019945,-0.00270266659361031,,0.622763806066891,2,,-0.0328990224047921,,0.444444444444444,0.167660530636937,0,ok
miti,InvestAgree,1,-0.0441135238215342,-0.282285579946499,0.128657671114927,0.647909424797869,682,,-0.356415744469161,0.186176189486698,0.368697478991597,0.129814907453727,1,ok
miti,MDBDummy,1,-0.000886313402819852,-0.041184674157255,0.100719999347937,1,2421,,-0.0489000267238038,0.110491976352936,0,1.46727272727273,1,ok
miti,NDCActOnly,1,0.0114126664124785,0.00320127303416433,0.0181001028347186,0.0383410918324165,16,,-0.138934201229013,0.192501899801488,0.181623931623932,0.174660271782574,1,ok
miti,NDCnonGHG,1,-0.020922718901772,-0.0399993873742671,-0.0035689662866688,0.0803571428571428,47,,-0.137904707742131,0.0908397566424357,0.187702265372168,0.172619047619048,1,ok
miti,NDC15,1,0.135392697285899,0.0875943638236614,0.184612698348671,0.179052753176743,465,,-0.898766767749083,0.363555972101222,0.144444444444444,0.175948509485095,0.92,ok
miti,NDC16,1,0.022160702981798,0.0173950683524645,0.0266833745738673,0.0225148123765634,55,,-0.0652663360747339,0.107695206729188,0.172043010752688,0.176005747126437,1,ok
miti,NDC17,1,0.0540397203404416,0.0500677665292495,0.0637716753521673,0.026605421138803,2,,-0.0812351486222372,0.152756421157285,0.180392156862745,0.175592747559275,1,ok
miti,NDC18,1,0.0245663688772775,-0.0204582268195541,0.054353387353621,0.182377049180328,8,,-0.227309414784288,0.216867840024118,0.214285714285714,0.175204918032787,1,ok
miti,RecipientWRIVul,0,0.0535491639662923,-0.111671149741321,0.188517081778541,0.119434258774227,165,0.6336,-0.460561411364662,0.772147348709569,0.164658634538153,0.186991869918699,1,ok
miti,CPIAPublicAdm,0,0.0298810746150228,-0.0537148710739177,0.096062347107913,0.367876051074432,311,3,-0.143804050642407,0.167892333911486,0.244927536231884,0.154824561403509,1,ok
miti,CPIAbudget,0,0.00964297990775147,-0.0125075568562063,0.0301801384336071,0.174484052532833,72,3.5,-0.0707040039525401,0.0964600821920867,0.207070707070707,0.170940170940171,1,ok
miti,RecipientGDPtot,0,0.00107715959232302,-0.0598404926547262,0.0372893317517205,0.547632705290562,947,2.5158715392974,-0.096132985236563,0.0578442085305914,0.247496423462089,0.111959287531807,1,ok
miti,ProviderGDPtot,0,-0.025151698359227,-0.136984245173178,0.0345915283928582,0.650364754707712,1202,6.25890345067375,-0.17270651090626,0.0648488492381978,0.271206339888465,0.0948232951717272,1,ok
miti,RecipientPop,0,0.16138002990373,0.0597401667332526,0.305354137447411,0.507827688529622,856,0.011738441,-0.522000397553429,2.37208233090661,0.24002849002849,0.118135376756066,1,ok
miti,ProviderPop,0,0.989073923472698,0.415227104219825,1.81556506821618,0.570745288406625,999,0.010629928,0.0142489340560063,2.36016332646296,0.252669552669553,0.108459595959596,1,ok
miti,Recipientdebt,0,-0.0761084329023695,-0.0962426403758339,-0.0433369770071319,0.103043753963221,141,0.41047454,-0.277054325418614,0.0870749549590683,0.166265060240964,0.185365853658537,1,ok
miti,Providerdebt,0,-0.0673040865723988,-0.0933571042500651,-0.0391013584239593,0.194713148299725,277,0.49215966,-0.163081908684102,0.0581567796200957,0.195068493150685,0.157086092715232,1,ok
miti,RecipientfisB,0,0.00613502027726146,-0.264029769773071,0.197304417000404,0.166994190020506,244,-0.03,-0.942532836165989,1.00569463201794,0.159305555555556,0.191241830065359,1,ok
miti,ProviderfisB,0,0.992477113226589,0.955078500463334,1.04784858297149,0.064748537815388,88,-0.02,0.237756017780679,1.76617043387639,0.169819022996326,0.181575789894681,1,ok
miti,distw,0,-0.0281945922258521,-0.0301681502974889,-0.0246673587668093,0.0208641943158091,27,8.81067255999843,-0.107463793333343,0.0448106669948005,0.173907195696032,0.177612946729602,1,ok
