"Variable","Uncorrelated_Estimate","Uncorrelated_Std. Error","Uncorrelated_t-value","Uncorrelated_Pr(>|t|)","Correlated_Estimate","Correlated_Std. Error","Correlated_t-value","Correlated_Pr(>|t|)"
"corr12",NA,NA,NA,NA,0.630179377912586,0.0559025348895538,11.2728229436756,0
"h1.(Intercept)",-5.52151407994746,0.403089720277001,-13.6979778996922,0,-5.4959486567315,0.402288098260328,-13.6617232289457,0
"h1.Colonial Ties",0.478760144965596,0.0400280861095523,11.9606054522638,0,0.477926083204256,0.0399888317122132,11.9514890218283,0
"h1.Common Language",0.47300842248711,0.0252488435862715,18.7338648152701,0,0.471498471929809,0.0252527139430321,18.6711999745243,0
"h1.Common Religion",0.505513588095458,0.0504412771710482,10.0218237214978,0,0.511520640165129,0.0504390264108919,10.1413662507702,0
"h1.CPIAbudget",0.0373074678054598,0.0196243872503898,1.90107682494487,0.0572919506298764,0.0363090104211325,0.0196196973246041,1.85064070155655,0.0642212601492691
"h1.CPIAPublicAdm",0.195127450000601,0.0221551040531633,8.80733620263634,0,0.196870996171841,0.0221370567081936,8.8932778538248,0
"h1.Distance",-0.338850378320582,0.0181365649335924,-18.6832721389797,0,-0.341403386781504,0.0181223980885137,-18.8387532993159,0
"h1.EIA",0.044214913670184,0.00876688621482258,5.04339996969823,4.57331895686863e-07,0.0438077956517275,0.00875711843550708,5.00253547720699,5.65811651531689e-07
"h1.Investment Agreement",0.0982219232902373,0.0194410909969859,5.05228452999192,4.36556715666114e-07,0.100315566712016,0.0194179950840666,5.16611350851198,2.39011674896261e-07
"h1.MDBDummy",0.418065972714213,0.0152094466188946,27.4872573072351,0,0.416655528974918,0.0152009556248698,27.4098247016288,0
"h1.INDC15",0.100682265735619,0.0955172942139552,1.05407367916112,0.291849185643783,0.109905470666186,0.0907426224280775,1.21117802996378,0.22582718098548
"h1.INDC16",-0.409349528528082,0.0385040032023316,-10.631349846327,0,-0.398245519285881,0.0376309608167479,-10.5829218984129,0
"h1.INDC17",-0.459809172958856,0.0500684469779264,-9.1836116498994,0,-0.434008112767,0.0483056903109571,-8.98461671851018,0
"h1.INDC18",0.162448115663593,0.0526907230720934,3.08304965641343,0.00204890963170645,0.176558287245553,0.0502005303207545,3.51706020070784,0.000436354803900141
"h1.NDCActOnly",0.311437870617069,0.0219158624186479,14.2106144247406,0,0.312253092703096,0.0219049712213775,14.2548962766207,0
"h1.NDCnonGHG",0.0961370185522412,0.0206811942077233,4.64852356138793,3.34319437822472e-06,0.0951888437956367,0.020669744368445,4.60522598145697,4.12018191719987e-06
"h1.Provider GDP",1.01065492483811,0.0941331837975702,10.7364362286044,0,1.00875932992075,0.0939460626965918,10.7376435048549,0
"h1.ProviderISO_ARE",-2.09875308127386,0.24739777607152,-8.48331425852079,0,-2.11669401734864,0.247290514989263,-8.55954389290081,0
"h1.ProviderISO_AUS",-1.43514577598642,0.315139287198875,-4.55400463948103,5.26341942319597e-06,-1.43598688677132,0.314409264886757,-4.5672537267263,4.94155725538903e-06
"h1.ProviderISO_AUT",-1.09539906000316,0.239559160445831,-4.57256177540682,4.81797111451243e-06,-1.0962763203959,0.238941877952972,-4.58804597079324,4.47414128501578e-06
"h1.ProviderISO_BEL",-0.785277664810556,0.248262744943429,-3.16309104287675,0.00156103504749883,-0.788043939040634,0.247612368293159,-3.18257098574185,0.00145973728536575
"h1.ProviderISO_CAN",-1.96551999035771,0.310986462963857,-6.32027507443675,2.61098032083851e-10,-1.95977699162714,0.310286091539684,-6.31603234905713,2.68363997690813e-10
"h1.ProviderISO_CHE",-1.70432987243308,0.281066702103542,-6.06379147610741,1.32949495856849e-09,-1.70333767730645,0.280373642626133,-6.07524181428773,1.23801013884872e-09
"h1.ProviderISO_CZE",-0.70240892331096,0.189094847370382,-3.71458520990338,0.000203537278399946,-0.706284190907356,0.188593077734809,-3.74501651593225,0.00018038190892522
"h1.ProviderISO_DEU",-1.52439544641255,0.29371781869948,-5.18999988888059,2.102942060489e-07,-1.5217983471257,0.293066468835008,-5.19267302457056,2.07296066312423e-07
"h1.ProviderISO_DNK",-0.866597314792569,0.226357733490581,-3.82844138536414,0.000128957333900503,-0.866712080189442,0.225755523370675,-3.83916223731262,0.000123454836916226
"h1.ProviderISO_ESP",-1.33515600360031,0.267896120133472,-4.9838571866405,6.23290910883867e-07,-1.33256616439642,0.267246358610782,-4.9862837096208,6.15517409263688e-07
