"Variable","Equation","Han and Cheng","Rio markers","BERT Miti."
"CPIAPublicAdm","Allocation",1.657,1.619,1.604
"CPIAbudget","Allocation",1.517,1.526,1.524
"EIA","Allocation",1.265,1.256,1.27
"Energy","Allocation",1.016,NA,NA
"InvestAgree","Allocation",1.329,1.288,1.322
"MDBDummy","Allocation",1.109,1.051,1.055
"ProviderGDPtot","Allocation",4.379,3.875,4.869
"ProviderPop","Allocation",4.196,3.619,5.355
"Providerdebt","Allocation",1.731,1.747,1.973
"ProviderfisB","Allocation",1.791,1.751,2.22
"RecipientGDPtot","Allocation",2.03,1.845,2.069
"RecipientPop","Allocation",1.656,1.518,1.654
"Recipientdebt","Allocation",1.311,1.284,1.393
"RecipientfisB","Allocation",1.368,1.354,1.437
"WRI","Allocation",1.137,1.144,1.126
"colony","Allocation",1.526,1.378,1.824
"comlang","Allocation",1.605,1.423,1.852
"comrelig","Allocation",1.354,1.306,1.35
"distw","Allocation",1.3,1.253,1.393
"wto","Allocation",1.149,1.146,1.133
"CPIAPublicAdm","Selection",1.985,1.948,1.739
"CPIAbudget","Selection",1.879,1.823,1.616
"EIA","Selection",1.164,1.18,1.27
"InvestAgree","Selection",1.272,1.282,1.238
"MDBDummy","Selection",1.062,1.096,1.124
"NDC15","Selection",1.011,1.014,1.024
"NDC16","Selection",1.015,1.014,1.017
"NDC17","Selection",1.016,1.059,1.102
"NDC18","Selection",1.023,1.031,1.047
"NDCActOnly","Selection",1.166,1.214,1.394
"NDCnonGHG","Selection",1.398,1.314,1.288
"ProviderGDPtot","Selection",2.275,2.355,4.007
"ProviderPop","Selection",2.129,2.193,4.036
"RecipientGDPtot","Selection",1.761,1.772,1.949
"RecipientPop","Selection",1.414,1.455,1.649
"WRI","Selection",1.401,1.352,1.246
"colony","Selection",1.191,1.205,1.46
"comlang","Selection",1.203,1.22,1.506
"comrelig","Selection",1.247,1.246,1.298
"distw","Selection",1.227,1.23,1.29
"wto","Selection",1.187,1.147,1.126
