"Variable","Uncorrelated_Estimate","Uncorrelated_Std. Error","Uncorrelated_t-value","Uncorrelated_Pr(>|t|)","Correlated_Estimate","Correlated_Std. Error","Correlated_t-value","Correlated_Pr(>|t|)"
"corr12",NA,NA,NA,NA,-0.87973247071428,0.0155834406859945,-56.4530316790011,0
"h1.(Intercept)",-0.586103224429482,0.593464847891442,-0.987595518945874,0.323350781755334,-0.209345809211224,0.567668077858385,-0.368782070679425,0.712290169717612
"h1.Colonial Ties",0.0141653769200002,0.0509876002626124,0.277820035597698,0.781150510227255,0.0331326248004729,0.0502478891032355,0.659383416732215,0.509649588343488
"h1.Common Language",0.0909642070391946,0.0371579843503036,2.44803932801192,0.0143635976458343,0.0730762430137064,0.0365267861934526,2.00062065758211,0.0454332856743376
"h1.Common Religion",-0.0620068844814782,0.0825340486482925,-0.751288534816849,0.452479027704409,-0.0528787944356621,0.0812937403112539,-0.650465758288425,0.515391413051835
"h1.CPIAbudget",-0.108089763481833,0.0325820224721368,-3.31746635968555,0.000908378538063914,-0.0919805436746093,0.0319781670038855,-2.87635447220703,0.00402297653577111
"h1.CPIAPublicAdm",0.224929382399952,0.0354709168763441,6.34123395186212,2.27932117624619e-10,0.210350642526596,0.0348878169206943,6.02934379656823,1.64626734466822e-09
"h1.Distance",-0.00481508056162467,0.0320578044415601,-0.150199948047046,0.880606866882559,-0.0241902633973626,0.0314636743557187,-0.768831482422392,0.44199335682515
"h1.EIA",-0.00879693274055729,0.0129249819135802,-0.680614704095981,0.496115320353199,-0.0136297819196891,0.0126871170346721,-1.07430095288321,0.282687818106105
"h1.Investment Agreement",0.100998747971094,0.0288091466796936,3.50578755747332,0.000455258433066152,0.0853134740144993,0.0286452036219623,2.9782812906622,0.00289869822318667
"h1.MDBDummy",0.0059720346142867,0.00483561195634183,1.235011135758,0.216826359770202,0.00438791605878903,0.00467802592625586,0.937984553305154,0.348252348325758
"h1.INDC15",-0.466670288206099,0.200350607877005,-2.32926814223886,0.0198448649704981,-0.284678374564915,0.152502107502515,-1.86671764231337,0.0619410287135962
"h1.INDC16",-0.0355667366442872,0.0455114963685048,-0.781489062814036,0.434514906947033,-0.00437245868932353,0.0391688082508509,-0.111631139281051,0.911115880754113
"h1.INDC17",-0.0151839006523519,0.0546685959140454,-0.27774447831485,0.781208514590599,-0.0640583307594485,0.0455523595045064,-1.40625713917434,0.159647782458558
"h1.INDC18",-0.414694674917892,0.0739437441977801,-5.60824555771334,2.04387902158487e-08,-0.261849331940827,0.0630519964150743,-4.15291103896314,3.28272380591965e-05
"h1.NDCActOnly",0.0357841648491436,0.034619351096586,1.03364631963516,0.301301536818377,0.0367132445432828,0.0336664108609512,1.09050069800774,0.275492646008195
"h1.NDCnonGHG",-0.0959754752293414,0.0289218830430515,-3.3184379829791,0.000905224215020484,-0.0725617440387721,0.0284934977761883,-2.54660711046192,0.0108775823859677
"h1.Provider GDP",-0.0541011832308614,0.119580367040082,-0.452425298316129,0.650962625362295,-0.078770844534582,0.115165069884051,-0.683982084271636,0.493986478945745
"h1.ProviderISO_AUS",0.72984039683183,0.414628435983473,1.76022755193018,0.0783692322508569,0.65303318872229,0.414799137758092,1.57433593582621,0.115409806049613
"h1.ProviderISO_AUT",-0.17395238265466,0.330474469272647,-0.526371622708158,0.598630028268083,-0.323147159350153,0.33391052580888,-0.967765716781007,0.333161389219873
"h1.ProviderISO_BEL",0.289989721609169,0.339447380998795,0.854299481574727,0.392939074377842,0.188988035418545,0.341912848965442,0.552737447540752,0.580443207024687
"h1.ProviderISO_CAN",0.142695844787049,0.400396281992847,0.356386538048818,0.721551109520154,0.117947146385567,0.399537617367215,0.295209114883323,0.767834139454008
"h1.ProviderISO_CHE",-0.253732612953599,0.373569701328018,-0.679210899737306,0.497004242024893,-0.356851472846345,0.375216106233034,-0.951055849997858,0.341576025186595
"h1.ProviderISO_CZE",0.611858786094992,0.302341225710694,2.02373587874672,0.0429973348678108,0.324630805640604,0.304801140559126,1.06505771285863,0.28684981382497
"h1.ProviderISO_DEU",0.130607790124316,0.375181121416057,0.348119302035666,0.727750588963465,0.107260291157712,0.373030784127638,0.287537371502862,0.773700891156352
"h1.ProviderISO_DNK",-0.700858350351088,0.31820847045419,-2.2025131805911,0.0276290791228122,-0.837937728702596,0.321868570634243,-2.6033536826893,0.00923166633008932
"h1.ProviderISO_ESP",0.104382321251518,0.355156559841699,0.29390509159691,0.76883042732121,-0.0351782507718422,0.355851774232122,-0.0988564714838134,0.921252230273066
"h1.ProviderISO_FIN",-0.265999416183422,0.297433320895129,-0.894316129016392,0.371152772643855,-0.37067391806667,0.301583669775291,-1.22909147681258,0.219037510405771
"h1.ProviderISO_FRA",0.0623481818328316,0.37970019164673,0.164203714415925,0.869570777117551,0.0996255978355779,0.378185640369677,0.26343040877542,0.792218855241637
"h1.ProviderISO_GBR",0.550487601781237,0.386210611345813,1.42535597316442,0.15405432783302,0.511551406926637,0.384529555120353,1.33033053016309,0.18340939234619
"h1.ProviderISO_IRL",0.814732849435548,0.311198887836414,2.61804550491782,0.00884350110999477,0.612288128686641,0.314986403595874,1.94385574011062,0.0519128498314847
"h1.ProviderISO_ITA",0.0895204780990143,0.366176107607226,0.244473837148974,0.806863862249432,0.0187243207461656,0.365877337633765,0.0511764977499322,0.959184879377419
"h1.ProviderISO_JPN",0.133874083210706,0.320650664754879,0.417507580447543,0.676307180805281,0.0601441006001478,0.318860920135681,0.188621736945862,0.850389295002544
