"Variable","Equation","Han and Cheng","Rio markers","BERT Miti."
"CPIAPublicAdm","Allocation",1.657,1.619,1.604
"CPIAbudget","Allocation",1.517,1.526,1.524
"EIA","Allocation",1.265,1.256,1.27
"Energy","Allocation",1.016,NA,NA
"InvestAgree","Allocation",1.329,1.288,1.322
"MDBDummy","Allocation",1.109,1.051,1.055
"ProviderGDPtot","Allocation",4.379,3.875,4.869
"ProviderPop","Allocation",4.196,3.619,5.355
"Providerdebt","Allocation",1.731,1.747,1.973
"ProviderfisB","Allocation",1.791,1.751,2.22
"RecipientGDPtot","Allocation",2.03,1.845,2.069
"RecipientPop","Allocation",1.656,1.518,1.654
"Recipientdebt","Allocation",1.311,1.284,1.393
"RecipientfisB","Allocation",1.368,1.354,1.437
"WRI","Allocation",1.137,1.144,1.126
"colony","Allocation",1.526,1.378,1.824
"comlang","Allocation",1.605,1.423,1.852
"comrelig","Allocation",1.354,1.306,1.35
"distw","Allocation",1.3,1.253,1.393
"wto","Allocation",1.149,1.146,1.133
"CPIAPublicAdm","Selection",2.005,1.948,1.739
"CPIAbudget","Selection",1.881,1.823,1.616
"EIA","Selection",1.204,1.18,1.27
"InvestAgree","Selection",1.284,1.282,1.238
"MDBDummy","Selection",1.045,1.096,1.124
"NDC15","Selection",1.12,1.014,1.024
"NDC16","Selection",6.116,1.014,1.017
"NDC17","Selection",5.142,1.059,1.102
"NDC18","Selection",3.306,1.031,1.047
"NDCActOnly","Selection",1.219,1.214,1.394
"NDCnonGHG","Selection",1.421,1.314,1.288
"ProviderGDPtot","Selection",2.276,2.355,4.007
"ProviderPop","Selection",2.13,2.193,4.036
"RecipientGDPtot","Selection",1.787,1.772,1.949
"RecipientPop","Selection",1.443,1.455,1.649
"WRI","Selection",1.409,1.352,1.246
"colony","Selection",1.191,1.205,1.46
"comlang","Selection",1.211,1.22,1.506
"comrelig","Selection",1.255,1.246,1.298
"distw","Selection",1.261,1.23,1.29
"wto","Selection",1.209,1.147,1.126
