"Variable","Uncorrelated_Estimate","Uncorrelated_Std. Error","Uncorrelated_t-value","Uncorrelated_Pr(>|t|)","Correlated_Estimate","Correlated_Std. Error","Correlated_t-value","Correlated_Pr(>|t|)"
"corr12",NA,NA,NA,NA,0.897252956105128,0.00779666196615345,115.081679826603,0
"h1.(Intercept)",-1.97246136928309,0.233288522310542,-8.45502963346586,0,-2.68730985933425,0.204969707781936,-13.1107659195828,0
"h1.comrelig",0.0844953288297116,0.0354187479930015,2.38561026624677,0.0170508099756523,0.0843512778471982,0.0348381290832767,2.42123443671633,0.0154678982097924
"h1.EIA",-0.0162586372609158,0.0061408227393353,-2.64763175083534,0.00810577677473745,-0.0234284000704095,0.0052297232442354,-4.47985466462955,7.46938809959019e-06
"h1.InvestAgree",-0.046185450696339,0.0131690225587506,-3.50712822385208,0.000452970821953835,-0.0645938144040155,0.0110695656089951,-5.83526189605188,5.3706141756038e-09
"h1.MDBDummy",0.00360171497658595,0.00257590306757559,1.39823389393912,0.162042841727713,-0.000463861153096242,0.00217370986839989,-0.213396074535789,0.831018042061225
"h1.NDC16",0.0209866273669368,0.0217242873722369,0.96604445555978,0.334021936436881,0.0214210454779417,0.0193341752782071,1.10793686152659,0.267889084665222
"h1.NDC17",0.0250307883329836,0.0274215899315694,0.912813166393633,0.361340812430264,0.0326560166572153,0.023457007930496,1.39216462534251,0.163872552151864
"h1.NDC18",-0.0579647478951104,0.0368379080469976,-1.57350813246939,0.115601206731025,-0.00559005383108253,0.0299945651627105,-0.186368890522612,0.852155486780213
"h1.ProviderGDPtot",0.23907283536079,0.0633120719467425,3.7761019029972,0.000159301839396386,0.452124288014379,0.0525593803512883,8.60216168821892,0
"h1.ProviderISO_ARE",-1.21180135178065,0.171523149450576,-7.06494345318578,1.60671476123753e-12,-1.72661817481994,0.144752614738584,-11.9280620798327,0
"h1.ProviderISO_AUS",-0.669814647496371,0.221609574855594,-3.02249868009015,0.00250697176100179,-1.398109858498,0.180742704176848,-7.73535985790065,1.02140518265514e-14
"h1.ProviderISO_AUT",-0.584138743901151,0.168028478939579,-3.47642701753672,0.000508142509032972,-1.1117436526687,0.137970363268054,-8.05784391905065,6.66133814775094e-16
"h1.ProviderISO_BEL",-0.794446624090421,0.175553663933701,-4.52537763262205,6.02877567468241e-06,-1.34249805842255,0.14376755094302,-9.33797682172819,0
"h1.ProviderISO_CAN",-1.33748476389196,0.217147311942477,-6.15934294524567,7.30473903587381e-10,-2.03084075974559,0.177466373642635,-11.4435243030046,0
"h1.ProviderISO_CHE",-1.01572872900182,0.197474950787652,-5.14358264149691,2.69547999032227e-07,-1.6371550810962,0.1616761945354,-10.1261356738437,0
"h1.ProviderISO_CZE",-0.286498912641263,0.131451535961131,-2.17950220624259,0.0292943809498245,-0.671273314304718,0.111234107359642,-6.03477953155462,1.59179869285708e-09
"h1.ProviderISO_DEU",-0.650688379027147,0.204147580220718,-3.18734308936527,0.0014358634248981,-1.2842667162447,0.16606522960169,-7.73350760616793,1.04360964314765e-14
"h1.ProviderISO_DNK",-0.866603298626083,0.159719604715348,-5.42577913444342,5.7702275624294e-08,-1.34859071883162,0.132174355960103,-10.2031192740496,0
