"Variable","Uncorrelated_Estimate","Uncorrelated_Std. Error","Uncorrelated_t-value","Uncorrelated_Pr(>|t|)","Correlated_Estimate","Correlated_Std. Error","Correlated_t-value","Correlated_Pr(>|t|)"
"corr12",NA,NA,NA,NA,-0.382721108129463,0.0600580682544131,-6.37251778575713,1.85949922126838e-10
"h1.(Intercept)",-7.18434303294488,0.354092922980314,-20.289428471137,0,-7.1164193161576,0.353263037046625,-20.1448172320909,0
"h1.comrelig",0.174609249288739,0.0432394313004492,4.03819486143253,5.38641011011975e-05,0.170877215927796,0.0431685801494392,3.95837007694626,7.54629710391086e-05
"h1.EIA",0.0753275932037997,0.008199608939591,9.18672997197316,0,0.0778024521624156,0.00810064356359082,9.60447790989184,0
"h1.InvestAgree",0.403621685759587,0.0175374741742505,23.0148128373131,0,0.41135354852562,0.0173177430664192,23.7533001239218,0
"h1.MDBDummy",0.437671680915029,0.0145119036520672,30.1594946747516,0,0.432318689367974,0.0145479161496249,29.7168807492145,0
"h1.NDC16",-0.375254472358038,0.0368510248677809,-10.1830131917478,0,-0.363594019289204,0.0364879787056464,-9.96476188013503,0
"h1.NDC17",-0.442527753759261,0.0480466867461606,-9.21036982419237,0,-0.429990669892258,0.0474432658105143,-9.06326034994336,0
"h1.NDC18",0.0593046895614031,0.0511160304359255,1.16019747730102,0.245968413854784,0.0466379374036365,0.050771680511413,0.918581715906623,0.358314399138522
"h1.ProviderGDPtot",1.01689323519581,0.090325623221807,11.2580815822183,0,1.00051953219877,0.0901743620093633,11.0953879784022,0
"h1.ProviderISO_ARE",-1.82247075222229,0.238751575894065,-7.63333496500534,2.28705943072782e-14,-1.77086643747967,0.237500375261105,-7.45626795550448,8.90398865749376e-14
"h1.ProviderISO_AUS",-1.47629034727656,0.30175917939486,-4.89227983134456,9.9674589826293e-07,-1.43044268794924,0.301210305085969,-4.74898323130405,2.04441891238361e-06
"h1.ProviderISO_AUT",-1.14144577540612,0.22977872666345,-4.96758682572894,6.77912084690035e-07,-1.11107342215884,0.229298233526743,-4.84553851580045,1.26268711819755e-06
"h1.ProviderISO_BEL",-0.753947882117587,0.237899843292237,-3.16918191993693,0.00152868679973861,-0.72389078226082,0.23739884010317,-3.04925997930836,0.00229405863523025
"h1.ProviderISO_CAN",-1.88283776227538,0.297591262112819,-6.32692555859244,2.50093945552976e-10,-1.8355727512025,0.297057742942211,-6.17917827363142,6.44361008994565e-10
"h1.ProviderISO_CHE",-1.80303201240873,0.269543277733394,-6.68921157140529,2.24376073276744e-11,-1.76731734984632,0.269041408743951,-6.56894177776286,5.06741315575709e-11
"h1.ProviderISO_CZE",-0.786543288541586,0.181814219119068,-4.32608237327405,1.51784680946232e-05,-0.768645791802244,0.181354970158074,-4.23834974653449,2.25168801466502e-05
"h1.ProviderISO_DEU",-1.80536469470053,0.281764214238639,-6.40735978335233,1.4806111892085e-10,-1.76599578066264,0.281279492949946,-6.27843772804618,3.41991990282509e-10
"h1.ProviderISO_DNK",-1.00860233543412,0.217251502960302,-4.64255630773898,3.44124813778102e-06,-0.981827775976082,0.216781534528734,-4.52911166124227,5.92321919135053e-06
"h1.ProviderISO_ESP",-1.33758816197194,0.256913784314449,-5.20636977708757,1.92570722701291e-07,-1.29953473018971,0.256448949557031,-5.06742075736484,4.03242283786298e-07
"h1.ProviderISO_FIN",-0.444199113700937,0.197564795289758,-2.24837179645013,0.024552492045711,-0.421620463993334,0.197089892248561,-2.13922925819861,0.0324171057163896
"h1.ProviderISO_FRA",-1.70660746278202,0.28139585346679,-6.0647925040709,1.32124111651422e-09,-1.665003543819,0.280915058385814,-5.927071170148,3.08385339486961e-09
